,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.69,0.9,1.11,1.11,1.12,1.14,1.26,1.2,1.13,0.95,1.1,0.97,1.25,1.07,1.21
f_1,1.46,1.0,0.96,1.0,0.99,0.81,0.75,0.98,0.86,0.84,0.95,0.93,0.89,0.85,1.08,0.65
d_1,1.12,1.04,1.0,0.88,0.93,0.99,1.06,1.29,0.76,1.36,1.25,0.97,1.06,0.95,0.8,0.86
c_1,0.9,1.0,1.13,1.0,1.3,1.0,1.1,0.72,1.07,0.77,0.79,0.86,0.95,0.99,0.98,0.96
b_1,0.9,1.01,1.07,0.77,1.0,1.29,1.13,0.97,1.05,1.06,1.05,1.1,0.97,0.98,1.03,1.35
a_1,0.89,1.24,1.01,1.0,0.78,1.0,0.94,1.05,1.36,1.02,1.22,1.18,1.17,1.1,0.89,1.04
h_1,0.86,1.34,0.95,0.95,0.88,1.02,1.0,1.14,1.22,0.85,0.82,0.9,1.05,0.98,1.48,1.12
d_0,0.75,1.03,0.79,1.39,1.01,0.96,0.91,1.0,0.88,0.86,1.05,1.01,1.15,0.87,0.96,1.09
g_1,0.79,1.14,1.33,0.91,0.95,0.74,0.83,1.06,1.0,0.95,1.01,1.15,0.84,0.87,1.12,1.27
c_0,0.9,1.21,0.75,1.37,0.96,0.99,1.19,1.17,1.07,1.0,1.51,0.99,1.15,1.05,1.1,0.97
b_0,1.01,1.09,0.82,1.23,1.02,0.71,1.21,0.91,1.01,0.66,1.0,1.07,1.07,1.49,0.92,0.86
f_0,0.95,1.18,1.03,1.18,0.91,0.81,1.11,1.06,0.85,1.01,0.95,1.0,1.13,0.86,0.93,1.41
h_0,0.99,1.19,0.94,1.07,1.03,0.86,0.94,0.91,1.19,0.85,0.92,0.87,1.0,0.88,1.02,1.07
a_0,0.81,1.12,1.04,1.11,1.03,,1.02,1.18,1.18,0.96,0.63,1.03,1.2,1.0,1.22,1.03
g_0,0.89,0.96,1.27,0.96,1.0,1.02,0.69,1.06,0.94,0.93,1.03,1.1,0.97,0.83,1.0,1.06
e_0,0.8,1.72,1.13,0.99,0.73,0.87,0.95,0.86,0.9,1.04,1.23,0.63,0.88,0.94,0.96,1.0
