,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.5,0.86,0.87,0.74,0.57,0.42,0.48,0.41,0.38,0.41,,0.33,0.36,0.27,0.22
e_1,0.67,1.0,1.04,0.91,0.98,0.86,0.39,0.39,0.59,0.5,0.43,0.41,0.33,0.32,0.29,
d_1,1.17,0.96,1.0,0.89,0.9,0.74,0.52,0.4,,0.57,0.43,0.4,0.42,0.32,0.21,0.31
c_1,1.15,1.1,1.13,1.0,1.15,1.03,0.55,0.44,0.32,,0.4,0.44,0.37,0.41,0.35,
b_1,1.36,1.02,1.11,0.87,1.0,0.86,0.81,0.5,0.39,0.53,,0.37,0.43,0.3,0.43,0.43
a_1,1.75,1.16,1.34,0.97,1.17,1.0,0.7,0.55,0.5,0.55,0.59,0.56,0.61,,0.37,
h_1,2.36,2.54,1.91,1.82,1.24,1.42,1.0,1.01,0.94,0.8,0.75,0.57,,0.69,0.91,0.7
g_1,2.08,2.59,2.48,2.26,2.0,1.82,0.99,1.0,1.08,0.76,0.69,1.06,0.76,,,
d_0,2.46,1.71,,3.09,2.58,2.01,1.07,0.93,1.0,1.03,1.06,0.84,0.75,,0.55,0.85
c_0,2.61,2.01,1.76,,1.87,1.81,1.25,1.31,0.97,1.0,1.33,0.85,0.89,0.9,0.8,0.82
b_0,2.45,2.34,2.32,2.49,,1.7,1.34,1.45,0.94,0.75,1.0,1.03,0.8,0.99,0.77,0.78
f_0,,2.42,2.49,2.26,2.68,1.79,1.76,0.94,1.19,1.18,0.97,1.0,0.87,0.86,0.77,
h_0,3.05,3.04,2.38,2.69,2.3,1.63,,1.31,1.34,1.13,1.26,1.15,,1.03,1.0,0.71
a_0,2.76,3.11,3.09,2.43,3.39,,1.45,,,1.11,1.01,1.16,0.97,1.0,1.16,0.97
g_0,3.75,3.4,4.66,2.9,2.31,2.71,1.09,,1.8,1.26,1.3,1.3,1.0,0.86,,0.85
e_0,4.59,,3.2,,2.33,,1.44,,1.17,1.21,1.28,,1.41,1.03,1.18,1.0
