,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.07,5.64,7.91,9.32,9.77,6.99,3.82,3.46,3.23,2.28,3.07,2.32,2.11,1.94,2.8,
f_1,10.45,1.07,9.43,9.01,8.01,7.53,2.64,3.15,2.61,3.54,2.33,,1.45,2.04,2.61,2.29
d_1,10.42,11.25,1.07,7.95,9.53,12.0,3.45,2.28,,3.49,3.21,2.54,2.34,1.12,2.53,3.12
c_1,9.7,10.74,12.05,1.07,10.2,8.04,4.62,3.51,2.23,,2.09,2.46,2.51,2.26,2.08,2.06
b_1,10.06,11.4,10.83,7.79,1.07,9.28,3.59,4.6,2.63,4.48,,3.25,2.34,2.05,3.03,2.77
a_1,16.4,16.81,15.26,13.78,10.77,1.07,6.36,6.11,4.65,4.31,4.09,3.93,3.17,2.79,,
h_1,10.69,15.57,14.56,10.77,14.42,10.41,1.41,4.03,4.16,3.17,3.28,4.96,,3.6,3.77,3.44
g_1,18.46,14.96,20.83,14.15,15.14,12.42,5.98,1.41,5.57,3.6,4.19,4.59,3.35,,5.1,3.71
d_0,9.7,14.33,,15.82,14.63,10.65,5.33,5.16,1.72,3.94,3.68,5.24,2.76,3.46,3.55,3.27
c_0,20.16,11.82,8.78,,11.77,16.5,6.78,6.71,5.11,1.72,5.75,4.58,3.67,4.47,2.65,
b_0,16.3,17.56,15.58,25.63,,17.64,6.26,7.65,5.0,2.94,1.77,5.32,3.98,3.56,3.89,5.19
f_0,19.57,,16.84,19.86,17.51,17.01,4.94,4.4,5.11,4.43,4.87,1.76,4.13,2.66,5.58,
h_0,17.08,18.67,15.05,13.86,12.5,16.06,,6.29,4.32,5.99,4.33,3.89,,4.05,3.06,4.65
g_0,23.03,22.86,25.66,19.84,19.26,15.56,5.4,,5.11,4.2,5.1,5.28,3.47,,,4.06
a_0,27.86,34.46,18.55,23.04,25.46,,7.75,7.47,6.71,7.63,5.09,5.71,5.33,,1.8,
e_0,,24.98,24.96,34.43,26.24,,8.26,8.31,8.62,,6.44,,4.22,5.62,,1.71
