,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,6.04,0.62,0.5,0.62,1.2,0.36,2.53,2.12,2.88,0.52,3.21,1.89,4.54,2.85,2.45,3.7
f_1,0.67,6.05,0.72,1.07,0.51,0.38,2.35,2.25,2.26,2.68,0.46,3.36,4.08,1.5,3.12,3.45
d_1,0.52,0.61,6.26,0.44,0.58,0.5,2.37,2.43,0.86,6.09,3.2,4.05,4.21,3.39,3.07,4.47
e_1,0.65,0.6,0.45,6.38,0.61,0.6,1.85,1.88,6.04,2.47,3.01,2.95,5.46,0.73,2.69,5.28
b_1,0.55,0.67,0.46,0.61,6.91,1.31,2.49,1.81,3.14,2.53,3.07,0.54,3.97,3.32,2.72,3.29
a_1,0.82,0.54,0.52,0.53,0.53,10.73,1.95,2.28,2.9,2.83,2.93,2.55,4.58,3.81,0.5,4.46
h_1,0.9,1.6,1.12,0.91,0.74,1.2,14.71,4.53,4.06,5.57,5.19,5.63,2.37,3.95,5.21,9.17
g_1,0.87,0.81,1.73,0.94,0.85,0.87,3.98,17.4,4.39,5.21,8.67,5.19,6.61,6.24,6.14,3.26
d_0,2.13,1.11,0.39,1.15,0.92,0.92,2.79,3.74,13.15,4.0,5.17,5.35,6.34,4.48,4.99,7.27
c_0,0.52,1.17,1.42,1.03,0.76,1.04,4.1,4.29,4.89,14.99,6.21,12.25,8.2,6.43,6.82,10.74
f_0,0.98,0.4,1.44,1.0,1.18,1.4,3.46,3.65,4.43,5.84,16.73,6.55,7.18,10.4,5.71,8.11
b_0,0.96,1.48,1.22,1.19,0.3,0.77,3.33,4.69,5.83,5.75,4.77,16.72,8.63,6.17,10.56,8.56
h_0,1.0,1.45,1.07,1.06,1.03,1.1,1.22,5.85,5.33,4.6,5.13,5.01,3.59,4.7,6.32,9.88
e_0,1.17,1.39,1.09,,1.26,1.04,5.37,3.69,4.0,4.15,6.03,6.29,9.72,24.36,5.69,8.42
a_0,1.41,1.22,1.6,0.99,0.93,,4.29,3.16,4.41,3.62,3.76,2.86,6.82,4.49,22.51,9.59
g_0,1.11,0.8,1.91,0.94,1.05,0.85,3.17,1.72,4.26,4.63,7.21,5.01,7.23,4.03,5.64,3.39
