,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,16.22,0.65,0.49,0.68,0.48,0.45,0.81,2.11,0.83,0.92,0.91,0.88,1.06,0.82,0.99,0.32
f_1,1.12,17.09,0.5,0.47,0.47,0.46,0.81,0.79,0.95,0.95,0.98,0.37,0.89,0.97,0.96,0.87
d_1,0.5,0.68,19.38,0.48,0.39,0.54,1.01,0.34,1.98,0.69,1.26,1.1,0.86,1.01,0.94,0.95
c_1,0.48,0.55,0.4,19.61,1.26,0.56,0.71,0.96,0.22,0.78,0.54,0.89,1.03,0.65,0.87,1.11
b_1,0.5,0.43,0.58,0.5,21.35,1.22,0.8,0.74,0.84,0.74,0.31,0.87,0.86,0.86,0.9,0.94
a_1,0.44,0.44,0.65,0.63,0.51,31.91,1.03,0.78,0.93,0.75,1.06,1.11,1.03,0.56,0.89,1.1
h_1,0.49,1.02,0.88,0.6,0.59,0.61,5.6,1.15,1.18,1.7,1.07,0.93,0.5,1.18,1.64,1.21
d_0,0.56,0.69,0.31,1.7,0.82,0.61,1.11,3.12,0.76,1.37,1.17,1.09,1.4,0.89,1.11,1.28
c_0,0.57,0.7,0.89,0.41,0.51,0.7,1.39,1.11,3.28,1.29,3.46,1.35,1.11,1.81,1.28,1.31
g_1,0.69,0.66,1.11,0.59,0.53,0.49,1.06,1.09,1.11,6.59,1.13,2.33,1.06,1.04,0.69,1.4
b_0,0.71,0.76,0.76,0.71,0.35,0.46,0.98,1.04,1.2,1.25,3.9,1.29,1.76,2.95,1.16,1.33
f_0,0.5,0.44,0.82,0.78,0.78,0.82,1.56,1.13,1.09,1.14,1.41,4.43,1.51,1.28,1.41,2.9
h_0,0.68,1.12,0.76,0.66,0.65,0.6,0.6,1.13,1.16,1.59,1.01,1.31,0.73,1.33,1.76,0.94
a_0,0.75,0.6,0.71,0.77,0.68,0.33,1.51,1.07,1.12,1.35,1.57,1.11,1.49,5.68,1.41,1.24
g_0,0.63,0.47,1.86,0.72,0.66,0.45,1.05,0.9,1.17,0.62,1.29,2.28,1.18,1.13,0.62,1.14
e_0,0.29,0.7,0.88,0.73,0.71,0.79,1.45,0.9,1.19,1.39,1.23,1.34,1.72,1.45,1.64,4.96
