,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9.5,2.04,0.71,0.72,0.49,0.61,0.86,0.86,1.02,0.88,0.92,0.61,0.83,0.94,0.83,0.71
e_1,0.73,9.92,1.03,0.63,0.74,0.69,0.91,0.84,2.36,0.91,0.95,0.86,1.03,0.97,0.96,0.72
c_1,0.65,0.54,11.16,0.59,2.01,0.74,0.95,0.88,0.78,0.5,0.56,0.99,0.84,0.87,0.9,0.97
d_1,0.75,0.69,0.47,14.11,0.57,0.7,1.0,1.13,0.56,2.68,1.45,1.22,1.11,1.07,1.09,1.17
b_1,0.78,0.51,0.8,0.64,14.0,1.71,0.98,0.86,0.8,0.77,0.62,0.93,0.96,0.64,0.99,0.82
a_1,0.86,0.6,0.71,0.67,0.69,18.9,1.01,0.86,0.9,0.83,0.87,0.84,1.12,0.68,1.03,0.7
h_1,1.29,0.7,0.62,1.0,0.62,0.68,3.13,1.12,0.87,0.91,1.22,0.85,0.85,0.98,1.41,0.97
g_1,0.6,0.65,0.66,1.68,0.65,0.72,1.08,3.57,0.92,1.12,1.33,1.94,1.23,1.3,0.94,1.49
d_0,0.66,0.6,2.61,0.53,0.96,0.56,1.03,1.17,1.92,0.59,0.89,1.22,1.02,1.05,0.91,1.23
c_0,0.78,0.79,0.64,1.07,0.46,0.8,0.95,1.12,1.13,2.19,3.55,1.31,1.53,1.75,1.45,1.5
b_0,0.86,0.81,0.72,1.21,0.4,0.74,1.11,1.21,0.88,1.21,2.7,1.19,1.23,3.23,1.35,1.47
f_0,0.65,0.5,0.78,1.15,0.72,0.62,1.17,1.34,1.09,1.41,1.48,3.14,1.63,1.38,1.31,3.65
h_0,1.07,0.68,0.8,1.02,0.74,0.64,0.79,1.61,0.89,1.07,1.18,1.11,0.71,1.11,1.32,1.15
a_0,0.86,0.82,0.86,1.06,0.6,0.41,1.16,1.25,0.81,0.86,1.21,1.37,1.17,3.19,1.1,1.53
g_0,0.73,0.59,0.68,1.8,0.67,0.66,1.01,0.93,0.62,1.02,1.34,2.15,1.13,1.2,0.81,1.58
e_0,0.69,0.45,0.82,0.96,0.99,0.77,1.14,1.26,1.01,0.96,1.69,1.3,1.44,1.19,1.13,4.06
