,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.13,4.37,5.27,5.9,5.06,4.98,1.01,1.05,1.9,1.06,0.97,2.02,0.51,0.98,1.17,1.05
e_1,2.9,1.13,5.69,6.28,6.38,5.55,1.57,1.22,1.74,1.11,1.2,1.64,0.87,1.15,2.92,0.82
d_1,6.31,6.31,1.13,6.1,4.51,5.15,1.55,1.0,0.88,2.68,1.17,1.04,0.7,1.02,1.16,0.54
c_1,6.78,4.5,9.28,1.13,8.38,5.4,1.71,2.71,1.77,0.64,1.12,1.07,0.84,1.0,0.95,0.81
b_1,6.7,7.56,6.22,3.01,1.13,7.67,2.48,1.62,1.85,1.66,3.39,1.23,1.12,1.38,1.27,1.01
a_1,9.71,9.32,8.41,12.69,4.38,1.14,2.36,1.77,3.18,2.28,2.8,2.33,1.78,6.55,1.9,1.4
h_1,17.71,15.55,17.6,19.53,16.47,13.27,1.81,3.5,5.69,3.32,3.22,3.39,4.14,3.3,3.64,2.37
c_0,24.01,24.25,10.99,77.1,25.21,21.98,6.41,2.3,5.33,5.97,4.34,3.82,3.42,4.72,3.75,3.42
g_1,23.22,25.69,19.86,24.06,21.37,26.05,4.98,4.02,1.82,5.34,4.37,4.23,2.38,4.02,3.5,3.86
d_0,20.75,13.44,33.62,28.64,23.98,19.01,7.93,5.14,8.62,2.45,5.06,4.65,3.4,4.61,4.7,3.08
b_0,27.61,25.69,18.97,30.68,62.74,24.82,7.09,2.74,8.1,5.26,2.26,4.88,4.38,4.78,4.82,2.88
f_0,61.51,27.31,23.92,30.68,29.2,26.05,9.91,4.85,4.98,6.77,5.11,2.43,4.14,5.49,5.8,2.42
h_0,32.46,30.96,27.39,31.99,31.04,28.51,17.1,5.66,9.74,6.38,5.95,5.63,8.12,5.14,6.18,5.42
a_0,48.69,37.7,27.39,33.41,57.82,62.06,8.3,6.12,11.39,7.92,3.61,5.89,6.59,2.71,6.62,6.48
e_0,49.38,64.22,32.34,38.06,39.85,43.96,12.82,7.38,14.3,8.32,7.3,3.22,5.29,6.77,2.56,4.97
g_0,42.24,38.53,39.95,36.67,39.32,38.36,8.47,8.38,19.2,9.81,9.78,8.13,5.0,7.96,7.13,11.34
