,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,0.85,0.81,0.93,0.87,0.86,0.2,0.2,0.25,0.18,0.18,0.23,0.1,0.17,0.14,0.17
e_1,0.6,0.42,0.97,1.03,0.99,0.83,0.25,0.23,0.27,0.18,0.2,0.26,0.14,0.17,0.16,0.29
d_1,1.01,1.05,0.41,0.99,0.95,0.76,0.22,0.35,0.17,0.19,0.15,0.19,0.11,0.15,0.1,0.16
c_1,1.03,0.8,1.15,0.4,0.93,0.81,0.26,0.12,0.31,0.24,0.19,0.19,0.15,0.18,0.12,0.17
b_1,1.11,0.98,1.14,0.62,0.38,1.12,0.3,0.19,0.33,0.29,0.28,0.19,0.15,0.21,0.14,0.17
a_1,1.55,1.29,1.42,1.19,0.64,0.31,0.47,0.26,0.41,0.28,0.42,0.26,0.21,0.35,0.2,0.23
h_1,1.84,1.87,1.73,1.92,1.51,1.33,0.29,0.37,0.5,0.41,0.37,0.34,0.32,0.3,0.23,0.32
d_0,1.8,1.21,2.49,2.27,1.94,2.11,0.69,0.31,0.64,0.45,0.54,0.42,0.31,0.41,0.33,0.4
g_1,2.0,2.03,1.72,2.01,1.94,1.67,0.45,0.5,0.26,0.4,0.42,0.38,0.21,0.34,0.36,0.35
c_0,2.04,2.06,1.25,2.61,2.1,2.25,0.66,0.59,0.53,0.29,0.43,0.42,0.31,0.39,0.28,0.42
b_0,2.23,2.04,1.67,2.84,2.67,2.03,0.58,0.51,0.52,0.25,0.28,0.38,0.31,0.37,0.26,0.37
f_0,3.06,2.02,1.98,2.04,1.91,2.31,0.65,0.49,0.39,0.41,0.48,0.28,0.32,0.44,0.21,0.37
h_0,2.38,2.47,2.48,2.4,2.58,1.94,0.92,0.61,0.57,0.49,0.46,0.47,0.46,0.45,0.35,0.36
a_0,2.63,2.72,2.41,2.54,3.45,2.54,0.82,0.67,0.66,0.43,0.3,0.56,0.35,0.28,0.34,0.5
g_0,2.82,2.5,2.8,2.75,2.71,2.57,0.63,0.61,0.85,0.62,0.51,0.57,0.32,0.45,0.45,0.45
e_0,3.61,3.34,2.35,2.64,2.36,2.82,0.82,0.55,0.73,0.53,0.59,0.29,0.42,0.54,0.32,0.27
