,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.14,6.18,12.66,15.04,11.6,11.26,3.03,4.76,2.32,2.36,2.71,2.13,1.39,12.9,2.45,2.87
f_1,12.71,1.14,9.62,11.08,10.42,12.07,2.34,4.37,2.46,2.23,11.49,2.34,1.33,2.42,1.56,2.06
d_1,13.09,12.74,1.14,13.09,10.84,12.07,3.35,2.02,15.1,2.17,2.23,2.71,1.85,2.51,1.17,2.33
c_1,11.77,13.71,15.56,1.14,12.07,13.35,3.47,3.0,1.25,8.5,2.11,2.46,1.52,2.11,1.77,2.14
b_1,11.1,14.41,14.61,8.01,1.14,14.2,4.56,4.17,2.62,3.4,2.29,10.73,2.71,2.85,2.4,4.88
a_1,23.54,26.68,23.62,17.68,11.33,1.15,5.08,7.65,4.5,4.6,4.04,3.99,3.44,4.78,2.26,8.02
h_1,29.72,24.93,26.64,32.27,35.49,23.44,1.91,6.83,5.87,5.1,5.98,6.15,10.39,3.95,3.58,4.2
g_1,35.79,38.81,31.42,34.99,31.38,28.39,8.0,1.88,6.47,5.1,6.66,6.01,3.13,5.38,10.34,5.47
d_0,18.75,46.78,87.63,30.22,35.49,36.0,11.38,10.83,2.82,7.29,7.81,6.92,5.84,6.91,6.46,6.69
c_0,33.08,35.57,18.92,174.95,43.2,33.05,11.07,12.8,9.32,2.82,8.62,8.68,5.92,7.44,5.66,7.08
f_0,33.4,100.44,34.69,35.36,57.33,32.0,10.92,6.9,6.04,5.46,2.58,5.88,5.68,8.23,3.45,7.85
b_0,38.97,34.15,30.55,52.76,135.5,42.0,12.24,10.83,10.57,3.64,8.25,2.64,5.76,8.06,8.83,6.69
h_0,46.76,44.93,56.44,49.61,46.58,63.0,57.71,13.54,10.23,10.2,12.74,9.6,14.2,9.67,9.78,8.4
e_0,152.48,65.67,46.25,54.49,55.2,63.0,19.24,14.67,13.78,10.37,5.33,10.13,9.26,2.61,7.7,9.26
g_0,59.44,81.31,45.0,60.44,80.57,54.49,12.62,33.52,13.49,11.55,11.96,12.72,6.09,12.9,15.74,10.31
a_0,61.53,59.91,53.71,58.32,82.81,106.11,19.71,17.17,14.41,10.93,13.32,6.36,10.39,11.73,9.78,2.96
