,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,8856.17,4018.25,3298.81,4201.51,7699.53,21305.75,4266895.67,8104019.96,7846168.35,12607158.71,6428512.74,21666214.72,60499775.73,114745362.78,100610040.49,178425841.94
e_1,2131.24,9595.11,4843.23,3502.94,7251.58,26026.35,3626851.27,16386053.54,9270382.54,15098101.8,21423160.24,26379768.71,92320576.58,90768004.83,153754036.16,185311450.89
c_1,2233.56,1693.08,19731.79,4311.61,17005.96,24158.56,3840937.94,6895983.98,7006134.59,3603672.3,16310531.21,17747304.82,75149515.55,103495011.64,145039486.29,263922704.8
d_1,1999.0,2055.37,3085.61,22306.86,7863.74,22717.31,4365118.41,3680112.24,9962077.99,31049023.12,24643301.8,26941539.24,69360195.47,180734424.34,147382418.09,230297748.64
b_1,2258.44,1821.71,3679.11,4076.13,52245.04,51585.79,3657955.15,8966282.77,8146144.24,10656229.75,16542255.5,9311147.98,78702509.74,137089653.84,150963301.39,240590128.89
a_1,2169.55,1912.15,4961.66,4820.55,7108.95,204890.11,3501420.19,10136903.05,7178706.24,12262322.92,16807289.38,22251424.23,85455830.15,171120663.35,72724588.91,209650364.28
h_1,3572.47,2331.65,5354.27,4698.61,9304.28,26246.04,14790915.05,9456731.63,15132418.78,18458182.31,16191019.03,30258934.22,44909020.15,144897303.32,161092853.93,349950735.29
d_0,2828.45,2468.57,8584.08,2603.84,10598.79,32275.89,5847065.72,21692469.45,8912725.51,15736647.74,26424122.11,26890610.06,87606759.21,153751659.08,153686084.66,294118192.21
g_1,2535.14,2281.76,4200.67,8343.33,9301.5,27685.14,5170107.86,8589261.88,37003163.13,15534230.17,33031512.63,30268808.56,75117568.49,203390806.68,184490849.73,141481840.92
c_0,2416.35,3160.4,3046.3,5892.91,9005.65,25198.76,5706226.92,11027930.61,13978274.98,37598152.31,23516735.04,59339302.98,87671330.63,218519434.99,216530834.44,256770478.73
f_0,1358.6,2010.87,5537.9,6637.01,11603.8,35629.34,5501057.2,11606629.53,9804353.29,20959814.28,52835379.95,30880502.74,87636578.84,428428693.43,177682079.17,324433033.5
b_0,2640.61,2958.18,5700.02,5055.02,5036.84,28493.63,5963530.98,10219682.96,13690240.75,18316438.04,22760664.34,75174854.64,95884479.77,186755549.5,384753816.31,318143462.55
h_0,3600.63,2358.23,5218.82,5124.37,10351.83,35582.35,4147281.4,10909478.08,14330581.76,16293947.99,19119803.12,32380048.72,64017908.47,184568611.23,190776369.76,340681841.95
e_0,2060.13,1672.83,5950.65,4804.25,12472.23,31660.83,7017009.46,13898089.89,12040116.12,20451714.03,23207485.17,35868196.18,116647308.38,591772359.24,286530026.61,337368402.29
a_0,3156.49,1926.19,6031.97,5968.69,10280.69,16889.4,5736873.41,11737382.75,9542998.05,17092210.58,22921723.62,33541051.74,96638516.85,193329874.76,615762346.18,333507207.73
g_0,1625.68,2482.97,5063.63,8584.56,12134.01,30755.45,6035926.75,6530844.02,7289971.56,17291536.65,33891662.67,29998032.8,87474391.73,213778352.94,166118199.51,180922763.34
