,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,92.88,49.94,63.04,117.24,156.46,254.27,9105.14,14309.41,16484.26,35519.88,25592.17,33597.68,85867.7,69016.66,69020.21,141155.74
f_1,62.77,106.51,55.83,88.83,132.57,271.9,6361.22,13451.74,12414.11,17104.97,22173.21,15261.97,65053.78,59718.75,62872.78,114720.44
d_1,38.63,49.41,121.11,85.35,139.42,287.35,7775.46,22531.64,15171.21,12225.55,21636.43,28328.11,72385.12,60332.3,96294.55,99672.17
c_1,32.66,40.49,46.65,183.25,191.71,167.52,5763.99,6707.75,13803.0,12327.31,17421.66,24925.63,58966.75,42270.98,65996.73,106027.56
b_1,28.5,37.33,40.77,58.02,263.99,321.43,5656.3,9161.03,8569.22,12695.48,7075.34,20803.05,52135.45,37099.08,59173.61,85337.14
a_1,25.34,28.43,31.05,64.71,66.6,433.56,4953.13,8553.53,10091.82,9371.92,16766.89,20558.34,50394.57,39610.61,56991.68,82819.75
h_1,9.21,16.47,14.75,23.77,36.36,60.57,3318.03,3316.81,5391.5,5046.82,6561.46,8169.45,13922.77,15429.44,23007.35,39452.12
c_0,9.39,11.23,11.73,15.02,29.12,53.22,1994.42,4631.95,3720.44,4597.09,8338.38,7240.36,18335.37,17475.84,20468.38,28165.33
g_1,7.03,9.94,15.66,17.3,35.15,56.51,1255.07,3003.28,5897.25,3060.27,4863.68,8398.62,11812.29,13120.91,15790.52,16017.07
d_0,6.76,10.32,7.91,31.42,30.48,50.84,1422.71,2562.58,3332.84,5345.53,4828.6,5456.84,16554.38,12546.9,17757.55,29492.38
b_0,7.2,9.86,12.52,17.87,26.44,37.57,1439.59,2495.16,2944.47,3559.69,6428.01,5861.87,12944.35,23574.76,17284.81,24408.79
f_0,5.45,6.72,11.62,19.89,25.93,45.85,1377.42,2540.37,2552.96,3903.54,3822.11,8052.63,14283.71,12889.24,25884.23,20959.98
h_0,5.98,8.41,8.18,12.97,20.11,28.74,801.95,1784.47,2783.74,2502.9,3559.42,3717.91,7457.95,8288.28,11187.68,19686.94
a_0,5.29,6.67,8.97,14.77,20.75,13.98,1096.13,2040.5,2025.05,2760.67,2329.26,3935.63,11993.15,14869.84,12625.87,15978.84
e_0,3.14,7.92,6.0,11.93,16.91,33.06,1099.46,2006.85,2292.69,2181.62,3114.98,3512.24,10805.49,9133.21,18823.33,14859.85
g_0,4.3,5.45,9.54,11.46,15.47,25.35,734.52,1711.99,1513.56,1844.73,2772.98,4601.8,7495.63,7650.07,10607.88,11913.94
