,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,1.57,1.66,2.1,2.19,2.28,0.43,0.51,0.38,0.43,0.38,0.82,0.19,0.32,0.36,0.37
e_1,1.09,0.44,2.4,2.18,1.88,1.81,0.64,0.77,0.44,0.42,0.45,0.56,0.32,0.58,0.34,0.88
d_1,2.23,2.5,0.42,2.08,1.85,1.5,0.61,0.39,0.39,1.3,0.4,0.39,0.28,0.39,0.18,0.46
c_1,2.05,1.67,2.59,0.41,2.13,2.67,0.62,0.59,0.82,0.23,0.45,0.42,0.33,0.43,0.31,0.42
b_1,2.83,3.16,2.55,1.14,0.37,2.4,0.67,0.76,0.63,0.54,1.13,0.46,0.41,0.51,0.48,0.45
a_1,3.78,3.18,2.68,3.58,1.27,0.32,0.85,0.82,0.58,0.58,0.89,0.5,0.44,1.88,0.35,0.52
h_1,3.23,3.06,3.0,3.54,3.63,2.98,0.34,0.99,0.58,0.72,0.63,0.67,0.8,0.59,0.5,0.65
g_1,4.18,3.86,3.56,3.6,3.67,4.03,0.7,0.31,0.86,0.88,0.83,0.71,0.47,0.72,0.86,0.84
c_0,4.02,3.73,1.92,8.35,4.59,3.75,1.12,1.13,0.39,0.94,0.78,0.7,0.54,0.82,0.46,0.71
d_0,3.89,1.93,7.52,4.31,4.3,4.74,1.12,1.5,1.07,0.39,0.87,0.81,0.58,0.67,0.63,0.73
b_0,4.07,3.74,2.99,5.29,11.12,3.35,1.01,1.12,0.41,0.97,0.35,0.75,0.49,1.05,0.48,0.68
f_0,9.23,4.19,3.33,3.38,5.64,3.32,1.19,0.85,0.76,0.72,0.83,0.36,0.63,0.71,0.37,0.76
h_0,4.85,4.26,3.91,4.28,4.57,3.67,2.07,1.31,0.95,1.16,0.8,0.95,1.29,0.85,0.65,0.71
a_0,5.82,3.78,4.53,4.78,6.3,8.83,1.46,1.25,1.02,1.19,0.51,0.87,0.6,0.32,0.71,0.9
g_0,5.87,5.26,4.56,5.61,5.32,3.94,1.05,2.52,0.76,1.07,0.86,1.07,0.47,0.97,1.32,0.95
e_0,6.84,8.12,5.0,5.14,5.22,4.4,1.31,1.06,0.89,0.89,0.96,0.42,0.75,0.77,0.87,0.3
