,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.17,13.17,16.61,13.64,16.08,15.45,2.96,2.28,3.29,2.07,,2.72,1.47,3.09,2.65,1.15
f_1,13.17,0.17,13.7,13.93,9.48,9.87,2.61,3.99,2.97,2.73,2.42,,1.78,2.45,2.89,1.88
e_1,14.65,6.76,0.17,10.08,12.78,13.24,4.43,4.69,2.79,2.99,2.02,2.89,1.82,4.06,,2.57
c_1,15.52,18.57,13.44,0.15,15.56,11.96,2.84,3.46,,2.62,1.17,2.51,1.69,3.06,2.47,2.32
b_1,11.82,12.06,10.71,9.67,0.13,20.48,3.45,2.98,3.69,,3.18,1.95,1.84,3.28,,1.51
a_1,14.04,10.55,12.18,22.92,5.46,0.1,3.9,4.27,2.49,4.29,3.36,2.91,1.98,,2.55,2.02
h_1,3.57,3.16,3.42,3.09,3.11,2.85,0.07,1.2,0.72,0.68,0.66,0.65,,0.53,0.74,0.48
g_1,3.49,4.15,3.97,3.59,4.63,5.34,0.64,0.06,0.6,0.7,0.79,0.56,0.45,0.67,0.53,
c_0,1.36,2.81,2.96,,2.39,2.71,0.72,0.81,0.08,0.45,0.68,0.67,0.34,0.66,0.56,0.34
b_0,3.04,2.2,3.33,3.69,,2.53,0.75,0.76,0.27,0.08,0.66,0.55,0.25,0.7,0.66,0.39
d_0,,2.56,1.1,1.7,3.33,2.56,1.11,0.73,0.74,0.44,0.08,0.66,0.35,0.63,0.63,0.31
f_0,2.24,,3.27,2.42,3.37,3.33,0.76,0.53,0.43,0.46,0.49,0.07,0.36,0.41,,0.21
h_0,1.62,2.79,1.72,1.8,1.56,1.13,,0.35,0.33,0.39,0.3,0.35,,0.32,0.31,0.26
a_0,3.43,3.22,4.06,2.75,2.23,,0.78,0.71,0.5,0.33,0.49,0.78,0.44,0.05,,0.5
e_0,2.78,3.21,,3.06,,2.74,0.82,0.86,0.59,0.7,0.53,,0.29,,0.05,0.36
g_0,1.9,1.63,2.32,1.47,2.32,2.75,0.31,,0.36,0.45,0.37,0.36,0.2,0.22,0.34,
