,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.48,1.29,1.01,0.94,1.16,1.08,2.01,2.07,4.0,2.9,1.68,2.77,2.91,2.34,2.69,3.18
f_1,1.01,2.48,1.75,1.1,1.0,1.22,2.01,1.95,2.04,2.4,2.38,1.13,2.52,2.37,2.11,2.86
e_1,1.1,1.04,2.49,1.42,1.18,1.0,2.3,2.06,2.26,2.35,4.23,2.68,3.09,2.47,1.58,2.68
c_1,1.23,1.03,1.01,2.62,1.94,0.94,2.04,2.33,1.29,1.93,2.21,2.8,2.83,2.47,2.27,3.01
b_1,1.11,1.28,1.05,0.87,2.76,2.14,2.16,1.96,2.45,1.46,2.03,2.31,2.9,2.5,2.35,3.13
a_1,1.21,1.14,1.3,1.26,0.68,3.15,2.59,2.25,2.47,3.29,2.98,2.26,4.12,2.13,3.26,3.13
h_1,1.47,1.57,1.07,1.32,1.13,1.06,4.0,3.02,2.43,2.6,2.09,2.51,2.13,2.63,2.73,4.09
g_1,1.79,1.16,1.11,1.15,1.17,1.15,2.14,4.3,2.62,2.36,2.21,3.95,3.37,2.58,2.57,2.11
c_0,1.14,1.43,1.21,1.07,1.03,1.28,2.58,2.42,3.92,4.88,3.07,3.38,3.78,3.49,2.96,3.51
b_0,1.26,1.43,1.26,1.52,0.92,0.91,2.57,2.7,2.24,4.0,2.94,2.93,3.74,4.17,2.88,3.14
d_0,0.84,1.13,1.09,2.28,1.27,1.02,2.74,2.54,2.16,2.57,3.96,3.07,3.44,2.88,3.06,3.5
f_0,1.26,1.28,1.02,1.4,1.41,1.24,2.43,2.28,2.5,2.86,2.66,4.31,3.8,2.38,4.94,3.18
h_0,1.42,1.52,1.18,1.32,1.23,0.96,2.2,3.02,2.44,2.83,2.67,2.93,2.65,2.62,3.23,4.16
a_0,1.43,1.3,1.08,1.35,1.32,0.74,2.76,2.74,2.38,2.71,2.85,3.34,4.04,4.77,2.73,4.39
e_0,1.27,1.47,0.74,1.6,1.32,1.13,2.32,2.67,2.69,3.1,2.34,2.43,3.89,3.63,4.87,3.68
g_0,1.63,1.18,1.12,1.35,1.36,1.15,2.43,2.18,2.8,2.88,2.39,3.89,3.02,2.12,3.0,2.84
