,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.7,1.29,0.8,0.74,0.72,0.59,0.96,1.03,0.82,0.98,0.98,0.77,0.89,0.98,0.8,1.01
e_1,0.91,1.75,1.01,0.72,0.72,0.71,0.95,1.53,0.94,0.91,0.96,1.09,0.98,0.91,0.89,0.98
c_1,0.8,0.76,1.88,0.81,1.35,0.81,0.88,0.87,0.89,0.6,0.75,0.9,0.97,0.91,0.74,0.94
d_1,0.83,0.8,0.67,2.05,0.75,0.78,0.98,0.69,1.06,1.64,1.2,0.91,1.07,1.06,0.92,0.98
b_1,0.81,0.7,0.79,0.87,2.13,1.56,0.99,0.82,0.93,0.88,0.7,1.04,1.0,0.75,0.99,1.0
a_1,0.86,0.72,0.86,0.92,0.73,2.94,1.1,0.92,1.05,0.9,0.97,1.01,0.97,0.71,1.2,1.0
h_1,1.1,0.84,0.87,0.94,0.81,0.71,1.63,0.95,1.13,1.01,1.14,0.97,0.86,1.04,1.22,1.32
d_0,0.85,0.73,1.45,0.7,0.88,0.78,0.87,1.36,1.06,0.77,1.14,1.02,1.11,1.16,1.19,0.94
g_1,0.81,0.77,0.88,1.24,0.9,0.77,1.02,0.78,2.06,1.0,0.99,1.45,1.06,1.13,1.23,0.81
c_0,0.91,0.87,0.77,0.97,0.71,0.68,1.07,1.04,1.13,1.53,1.98,1.15,1.23,1.67,1.2,1.07
b_0,0.95,0.89,0.97,0.88,0.67,0.57,1.1,1.05,1.03,0.99,1.65,1.19,1.21,2.07,1.2,1.04
f_0,0.79,0.72,0.94,0.94,0.97,0.87,1.1,1.08,1.15,0.99,1.09,1.81,1.3,1.3,2.33,0.99
h_0,1.17,0.92,0.74,0.95,0.78,0.73,0.85,0.92,1.31,0.88,1.02,1.05,0.74,0.87,1.18,1.2
a_0,0.96,0.94,0.96,0.92,0.84,0.64,1.06,1.05,1.03,1.09,0.91,1.01,1.19,2.02,1.11,1.09
e_0,0.84,0.66,0.93,1.12,0.94,0.83,1.08,0.79,1.3,1.13,1.21,0.89,1.17,1.14,1.97,1.11
g_0,0.81,0.76,0.85,1.33,0.89,0.77,0.95,0.91,0.78,1.01,1.04,1.54,1.06,0.9,1.36,0.83
