,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.42,0.94,0.56,1.12,0.99,0.83,0.26,0.29,0.2,0.23,0.26,0.2,0.15,0.21,0.26,0.16
d_1,1.05,0.41,0.97,1.0,0.95,0.82,0.24,0.17,0.17,0.28,0.19,0.16,0.13,0.18,0.17,0.09
f_1,0.89,0.93,0.41,0.89,0.98,0.85,0.2,0.3,0.19,0.19,0.24,0.17,0.11,0.17,0.18,0.16
c_1,0.75,1.2,1.0,0.4,0.97,0.92,0.28,0.35,0.3,0.12,0.2,0.21,0.14,0.18,0.2,0.12
b_1,1.05,1.11,1.23,0.59,0.39,0.91,0.32,0.32,0.28,0.21,0.2,0.29,0.15,0.22,0.22,0.15
a_1,1.3,1.34,1.45,1.09,0.64,0.33,0.39,0.36,0.32,0.32,0.28,0.41,0.17,0.37,0.25,0.18
h_1,1.58,1.65,1.73,1.73,1.63,1.53,0.29,0.44,0.33,0.38,0.33,0.34,0.32,0.28,0.28,0.25
g_1,1.97,1.72,1.94,2.11,1.83,1.57,0.45,0.26,0.36,0.47,0.34,0.39,0.21,0.36,0.34,0.33
c_0,2.23,1.23,2.03,2.98,2.67,1.87,0.55,0.47,0.28,0.71,0.41,0.39,0.34,0.4,0.4,0.27
d_0,1.26,3.03,1.85,2.24,2.01,1.77,0.62,0.69,0.43,0.29,0.45,0.49,0.32,0.42,0.44,0.37
f_0,2.12,1.99,2.87,2.08,2.23,1.94,0.56,0.41,0.41,0.5,0.27,0.38,0.3,0.38,0.38,0.2
b_0,2.05,1.84,2.15,3.39,2.96,2.02,0.55,0.51,0.26,0.51,0.42,0.27,0.3,0.41,0.39,0.29
h_0,2.53,2.41,2.62,2.24,2.23,2.32,0.83,0.74,0.5,0.59,0.46,0.44,0.46,0.45,0.42,0.36
a_0,2.75,2.2,2.38,3.14,3.15,2.8,0.73,0.68,0.42,0.58,0.54,0.27,0.4,0.27,0.53,0.38
e_0,3.14,2.38,3.51,2.6,2.19,2.11,0.69,0.65,0.53,0.56,0.28,0.51,0.35,0.47,0.25,0.3
g_0,2.87,2.49,3.01,2.49,2.63,2.75,0.57,0.81,0.55,0.64,0.5,0.52,0.29,0.43,0.47,0.43
