,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,1.0,0.95,0.95,0.87,0.87,1.01,1.02,0.89,0.96,0.99,0.86,0.95,0.75,1.02
e_1,0.81,1.0,1.26,0.94,1.04,0.85,1.05,1.32,1.38,1.03,1.03,1.16,1.01,0.98,1.0,1.1
c_1,1.0,0.8,1.0,1.18,1.29,1.02,0.96,1.0,0.74,0.72,0.87,0.89,1.02,0.96,1.06,0.95
d_1,1.05,1.07,0.84,1.0,1.07,0.87,1.0,0.81,0.93,1.3,1.15,1.04,1.07,1.06,1.14,0.81
b_1,1.05,0.96,0.77,0.93,1.0,1.53,1.08,1.03,1.09,1.22,0.92,1.04,1.01,0.91,1.06,1.11
a_1,1.15,1.17,0.97,1.15,0.66,1.0,1.22,1.02,0.89,0.94,1.11,0.93,1.03,0.86,0.9,0.87
h_1,1.16,0.96,1.02,1.02,0.92,0.8,1.0,1.16,0.95,0.92,1.01,0.87,1.13,0.95,0.92,1.37
g_1,1.01,0.76,1.0,1.25,0.97,0.97,0.87,1.0,0.95,1.03,0.98,1.28,0.87,1.24,1.07,0.92
d_0,0.97,0.71,1.45,1.01,0.95,1.03,1.02,1.01,1.0,0.83,1.05,0.92,1.09,1.04,0.99,1.17
c_0,1.11,0.98,1.19,0.76,0.86,1.04,1.12,0.94,1.18,1.0,1.35,0.98,1.14,1.18,1.18,0.99
b_0,1.04,0.99,1.21,0.85,1.08,0.9,0.99,0.99,0.95,0.71,1.0,1.06,1.11,1.41,1.08,1.17
f_0,1.06,0.82,1.17,0.98,0.95,1.06,1.11,0.81,1.04,1.03,0.96,1.0,1.07,0.91,1.47,0.89
h_0,1.21,1.02,0.95,0.97,1.02,0.97,0.89,1.18,0.89,0.88,0.85,0.96,1.0,0.9,0.77,1.15
a_0,1.09,1.05,1.06,0.9,1.03,1.07,1.04,0.81,0.89,0.85,0.7,1.1,1.04,1.0,0.79,0.99
e_0,1.29,0.96,1.0,0.91,0.95,1.09,1.07,0.94,1.04,0.86,0.93,0.73,1.34,1.23,1.0,0.96
g_0,0.92,0.92,1.07,1.2,0.92,1.21,0.77,1.07,0.86,0.95,0.84,1.17,0.87,1.01,0.98,1.0
