,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.41,0.41,0.49,0.49,0.39,0.53,0.48,0.94,0.52,0.55,0.56,0.6,0.44,0.24,0.57
d_1,0.5,1.53,0.5,0.42,0.44,0.33,0.67,0.47,0.31,0.88,0.61,0.5,0.45,0.49,0.45,0.48
f_1,0.69,0.42,1.52,0.47,0.45,0.41,0.42,0.47,0.49,0.55,0.51,0.31,0.54,0.56,0.41,0.55
c_1,0.5,0.48,0.54,1.55,0.72,0.29,0.52,0.5,0.49,0.23,0.42,0.4,0.6,0.52,0.42,0.44
b_1,0.47,0.51,0.49,0.38,1.58,0.7,0.63,0.6,0.59,0.62,0.21,0.48,0.59,0.34,0.44,0.5
a_1,0.48,0.61,0.4,0.55,0.36,1.73,0.51,0.64,0.62,0.68,0.65,0.68,0.74,0.21,0.5,0.7
h_1,0.72,0.59,1.04,0.74,0.52,0.72,1.69,0.93,0.87,0.89,0.93,0.86,0.58,0.68,0.66,0.95
g_1,0.69,1.06,0.71,0.74,0.63,0.46,0.83,1.71,0.71,0.84,0.83,1.2,0.86,0.71,0.78,0.38
d_0,0.61,0.41,0.89,1.26,0.68,0.59,0.82,0.96,1.5,0.85,1.0,0.89,1.08,0.76,0.87,0.78
c_0,0.93,0.74,0.86,0.48,0.63,0.6,0.83,0.95,0.85,1.48,1.53,0.96,0.97,0.89,0.87,0.76
b_0,0.71,0.81,0.92,0.94,0.51,0.59,0.79,0.94,0.87,0.77,1.57,0.96,0.88,1.15,0.74,0.8
f_0,0.76,1.01,0.53,0.81,0.65,0.7,1.0,0.71,1.0,0.9,0.91,1.6,1.15,0.81,1.46,0.83
h_0,0.61,1.08,1.05,0.79,0.79,0.48,0.6,1.01,0.91,0.86,0.85,0.87,0.64,0.76,0.77,1.13
a_0,0.77,0.68,0.76,0.97,1.0,0.37,1.03,1.06,0.95,0.77,1.12,1.17,1.09,1.61,0.87,0.96
e_0,0.4,0.96,1.03,0.93,0.75,0.54,1.12,0.9,1.1,1.02,1.15,0.76,1.25,1.04,1.7,1.14
g_0,0.75,1.14,0.81,0.97,0.69,0.61,0.85,,0.95,1.12,1.11,1.34,1.02,0.88,0.64,0.65
