,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.43,0.16,0.07,0.06,0.06,0.08,0.32,0.35,0.4,0.36,0.33,,0.59,0.36,0.49,0.35
e_1,0.06,5.79,0.08,0.06,0.09,0.09,0.33,0.25,0.77,0.48,0.28,0.4,0.4,0.3,0.44,
c_1,0.08,0.08,6.13,0.05,0.18,0.08,0.32,0.28,0.41,,0.27,0.45,0.66,0.26,0.43,0.37
d_1,0.09,0.06,0.07,6.44,0.08,0.08,0.33,0.29,,0.78,0.3,0.24,0.68,0.39,0.71,0.25
b_1,0.06,0.07,0.08,0.07,7.58,0.18,0.32,0.24,0.45,0.42,,0.24,0.68,0.26,0.71,0.38
a_1,0.11,0.09,0.08,0.06,0.07,11.18,0.32,0.3,0.42,0.38,,,0.73,,,
h_1,0.5,0.31,0.25,0.32,0.3,0.26,14.85,1.13,1.44,1.37,1.3,1.37,,1.26,2.65,1.2
g_1,0.19,0.32,0.32,0.45,0.2,0.28,0.91,17.49,1.29,1.26,1.67,2.22,2.34,1.48,,1.19
d_0,0.39,0.29,0.67,,0.37,0.32,1.7,1.23,11.63,1.99,1.55,2.24,3.91,2.2,2.95,1.75
c_0,0.41,0.4,,0.41,0.31,0.24,1.17,1.32,1.93,13.23,4.15,2.21,2.75,1.95,3.67,2.42
b_0,0.37,0.37,0.26,0.52,,,1.7,1.93,1.68,2.04,14.98,1.58,2.58,2.74,2.77,2.83
f_0,,0.31,0.39,0.39,0.25,,1.43,1.35,2.24,2.13,1.76,16.24,4.14,1.84,3.19,3.57
h_0,0.82,0.49,0.72,0.62,0.55,0.38,,3.07,2.21,3.0,4.01,1.83,,3.62,4.76,2.79
a_0,0.3,0.32,0.48,0.48,0.26,,1.85,1.05,1.67,1.54,2.17,2.19,2.12,21.04,3.45,
g_0,0.54,0.48,0.43,0.92,0.55,,2.23,,1.53,2.13,4.22,4.79,4.19,3.1,,3.64
e_0,0.27,,0.39,0.46,0.49,,1.1,1.62,2.95,1.53,2.12,2.57,2.95,,3.64,24.38
