,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.66,5.87,6.8,5.71,6.82,6.13,2.23,1.81,3.0,1.71,,2.21,1.48,2.13,1.99,1.15
f_1,5.9,0.66,7.17,5.57,4.58,4.72,2.1,2.64,2.33,2.29,2.0,,1.5,1.83,2.06,1.73
e_1,6.04,3.54,0.66,4.74,5.92,5.69,3.06,3.02,2.2,2.22,2.16,2.12,1.72,2.52,,2.0
c_1,6.89,7.83,6.66,0.64,7.31,4.68,2.34,2.56,,2.03,1.34,2.14,1.68,2.34,1.93,2.16
b_1,5.62,6.5,5.52,4.81,0.63,10.45,2.81,2.24,3.09,,2.5,1.7,1.93,2.71,,1.46
a_1,7.13,6.43,6.65,10.82,3.18,0.59,3.48,3.13,2.47,3.71,3.07,2.54,2.44,,2.33,1.92
h_1,5.48,5.15,4.78,4.89,4.62,4.06,0.61,2.9,1.92,1.8,1.59,1.7,,1.41,1.76,1.58
g_1,6.08,6.01,5.58,5.51,6.83,6.71,1.68,0.59,1.73,1.94,2.14,1.76,1.6,1.82,1.43,
c_0,2.76,4.87,5.14,,3.98,4.67,2.1,2.36,0.7,1.82,1.92,2.13,1.36,1.97,1.67,1.28
b_0,5.91,4.32,5.76,6.35,,4.04,2.29,2.24,1.14,0.69,2.23,1.89,1.06,2.39,1.88,1.39
d_0,,5.06,2.8,4.41,5.6,4.39,3.14,2.14,2.24,1.51,0.72,2.16,1.49,2.04,1.98,1.23
f_0,4.7,,6.13,5.01,6.73,5.84,2.5,1.93,1.58,1.72,1.72,0.68,1.55,1.37,,0.98
h_0,4.56,6.53,4.53,4.7,4.08,3.04,,1.61,1.62,1.97,1.5,1.62,,1.4,1.52,1.43
a_0,6.78,6.84,7.17,5.67,4.7,,2.9,2.5,1.92,1.36,1.88,2.92,1.98,0.62,,2.34
e_0,6.14,6.69,,6.61,,5.78,2.84,3.15,2.32,2.5,2.05,,1.48,,0.61,1.65
g_0,6.06,4.77,5.75,4.13,6.37,6.53,1.63,,1.91,2.16,2.0,2.08,1.27,1.12,1.69,
