,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.44,1.68,0.92,1.88,2.06,1.82,0.54,0.55,0.34,0.35,0.41,0.42,0.34,0.77,0.4,0.31
d_1,1.91,0.43,1.8,1.8,1.73,1.56,0.46,0.3,0.68,0.29,0.32,0.29,0.22,0.31,0.3,0.15
f_1,1.93,1.53,0.42,1.84,1.6,1.47,0.35,0.61,0.44,0.34,0.31,0.7,0.17,0.36,0.32,0.31
c_1,1.39,2.48,1.88,0.4,2.09,1.58,0.6,0.5,0.21,0.75,0.35,0.36,0.3,0.35,0.38,0.24
b_1,1.97,2.03,2.63,1.02,0.38,2.32,0.55,0.59,0.42,0.59,1.04,0.39,0.3,0.45,0.41,0.32
a_1,2.82,2.24,2.76,2.38,1.07,0.33,0.72,0.66,0.48,0.53,0.6,0.57,0.32,0.43,1.52,0.37
h_1,2.82,2.8,2.93,3.0,2.74,2.5,0.32,0.86,0.63,0.59,0.57,0.68,0.76,0.61,0.59,0.36
g_1,2.8,2.64,3.82,2.98,3.02,2.86,0.66,0.32,0.64,0.63,0.66,0.63,0.31,0.52,0.63,0.61
d_0,1.8,6.64,3.19,3.07,3.04,3.24,1.09,1.0,0.38,0.87,0.64,0.61,0.46,0.53,0.59,0.45
c_0,3.57,1.67,3.44,7.89,3.41,2.85,0.95,0.93,1.04,0.36,0.66,0.71,0.46,0.68,0.65,0.56
b_0,3.66,2.56,3.25,4.57,5.55,2.88,1.08,1.06,1.04,0.4,0.34,0.82,0.46,0.67,0.55,0.52
f_0,2.71,3.04,9.57,3.46,3.56,3.5,0.98,0.57,0.7,0.74,0.78,0.34,0.49,0.72,0.58,0.31
h_0,3.68,3.52,5.0,3.7,3.71,3.41,1.73,1.21,0.82,0.72,0.75,0.72,1.04,0.67,0.64,0.49
e_0,5.16,3.77,7.27,5.13,4.05,3.23,1.05,1.07,0.79,0.82,0.78,0.4,0.5,0.31,0.76,0.42
a_0,3.8,3.7,4.05,6.01,8.45,6.6,1.27,1.29,1.12,0.64,0.4,0.94,0.63,0.71,0.3,0.57
g_0,4.15,4.18,4.62,5.64,4.69,4.23,0.91,1.74,0.9,1.06,1.0,0.75,0.51,0.75,0.75,1.06
