,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.14,1.12,0.98,0.97,0.91,0.38,0.4,0.5,0.37,0.39,0.46,0.26,0.35,0.33,0.3
e_1,0.76,0.65,1.26,1.1,1.14,0.96,0.48,0.5,0.56,0.44,0.39,0.45,0.32,0.38,0.56,0.38
c_1,1.16,0.92,0.64,1.23,1.25,1.01,0.5,0.29,0.46,0.42,0.36,0.37,0.35,0.35,0.38,0.3
d_1,1.23,1.32,1.15,0.63,1.14,0.85,0.45,0.54,0.32,0.43,0.42,0.34,0.29,0.36,0.33,0.23
b_1,1.35,1.12,0.72,1.31,0.62,1.41,0.64,0.45,0.54,0.56,0.64,0.48,0.36,0.4,0.39,0.35
a_1,1.62,1.37,1.32,1.51,0.77,0.56,0.77,0.55,0.69,0.52,0.79,0.53,0.47,0.65,0.47,0.37
h_1,1.86,1.73,1.74,1.84,1.58,1.45,0.55,0.65,0.83,0.65,0.61,0.64,0.61,0.54,0.58,0.57
d_0,1.75,1.28,2.25,2.02,1.88,1.63,0.93,0.58,0.88,0.63,0.68,0.63,0.58,0.66,0.65,0.63
g_1,2.11,1.89,2.06,2.04,1.89,1.43,0.72,0.73,0.52,0.71,0.68,0.72,0.5,0.6,0.68,0.66
c_0,2.13,2.05,3.03,1.25,1.92,1.69,0.89,0.97,0.77,0.56,0.8,0.74,0.69,0.73,0.66,0.64
b_0,1.99,2.12,2.65,1.6,2.56,1.68,0.94,0.78,0.89,0.5,0.53,0.8,0.72,0.78,0.61,0.64
f_0,2.49,2.05,2.27,2.39,1.71,1.76,0.93,0.88,0.61,0.78,0.73,0.55,0.64,0.63,0.82,0.47
h_0,2.28,2.35,2.18,2.14,2.18,1.63,1.07,0.88,1.09,0.73,0.75,0.69,0.77,0.73,0.7,0.67
a_0,2.28,2.34,2.17,2.21,2.6,2.53,1.01,0.88,1.13,0.74,0.51,0.89,0.67,0.54,0.83,0.59
e_0,2.95,2.4,2.19,2.28,2.18,2.09,1.07,0.86,0.78,0.79,0.83,0.48,0.7,0.7,0.52,0.67
g_0,2.48,2.29,2.55,2.71,2.36,2.06,0.81,0.86,1.18,0.84,0.83,0.88,0.58,0.84,0.78,0.75
