,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.42,5.06,3.62,3.56,3.05,3.12,1.64,1.4,3.0,1.29,,1.52,1.34,1.18,1.35,1.54
e_1,2.14,0.42,2.75,5.41,4.91,3.78,1.69,1.87,1.99,1.75,1.83,1.66,1.19,1.41,,1.54
d_1,4.08,4.13,0.4,4.24,3.5,3.71,1.65,,1.16,2.98,1.44,1.33,1.42,1.18,1.67,0.91
c_1,3.39,3.34,3.47,0.39,4.64,3.63,2.0,1.08,1.96,,1.37,1.44,2.21,1.18,1.63,1.65
b_1,4.03,2.81,4.41,2.02,0.37,4.16,1.64,2.06,2.15,1.76,2.02,,1.62,1.25,1.48,1.47
a_1,4.05,3.46,3.71,4.09,2.02,0.3,2.19,2.03,1.56,2.15,1.57,2.32,,1.18,1.42,1.51
h_1,2.2,2.02,2.44,1.57,1.97,1.62,0.27,0.74,0.99,0.71,0.69,0.71,0.78,,0.72,0.75
d_0,1.6,1.07,,1.5,1.51,1.45,0.82,0.29,0.82,0.98,0.69,0.64,0.74,0.63,0.73,0.62
g_1,1.41,1.85,2.37,2.28,1.93,1.97,0.83,0.89,0.23,0.7,0.76,1.22,0.7,0.56,0.86,
c_0,1.76,1.48,0.8,,1.84,1.47,0.82,0.61,1.02,0.28,0.73,0.88,0.9,0.63,0.64,0.77
f_0,,1.7,1.69,1.72,1.25,1.94,1.11,0.67,0.83,0.61,0.27,0.83,0.6,0.61,0.63,0.38
b_0,1.62,1.71,1.62,1.86,,1.27,0.91,0.97,0.63,0.45,0.65,0.26,1.11,0.6,0.78,0.52
a_0,2.02,1.84,1.79,1.51,1.62,,0.91,0.67,0.83,0.58,0.78,0.36,0.23,,,0.59
h_0,1.4,1.09,1.54,1.33,1.35,1.6,,0.57,0.62,0.48,0.53,0.7,,,0.61,0.42
e_0,1.91,,1.52,1.37,1.36,1.66,1.03,0.6,1.02,0.89,0.52,0.84,,0.53,0.22,
g_0,1.1,1.41,1.36,1.2,1.39,1.39,0.48,0.6,,0.57,0.73,0.65,0.63,0.42,,
