,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.92,1.65,2.29,2.99,2.29,1.9,9.08,17.42,7.38,9.66,11.87,10.96,15.94,13.15,9.8,15.76
d_1,2.04,6.3,2.43,1.79,2.2,1.93,8.05,6.99,8.25,18.1,13.56,12.35,17.18,11.44,12.35,19.56
f_1,3.5,2.05,6.33,2.14,2.19,2.12,7.14,9.95,7.16,8.64,10.71,5.95,16.28,12.15,7.84,13.76
c_1,1.98,2.02,2.24,6.78,4.25,2.33,8.13,10.17,7.57,4.99,7.23,10.04,14.25,10.91,10.5,15.42
b_1,2.02,2.32,2.28,2.14,7.71,4.91,7.39,8.52,7.8,9.4,5.48,9.6,14.83,7.18,10.07,14.34
a_1,2.27,2.45,2.64,2.41,1.78,11.1,8.38,9.57,9.03,10.25,9.95,10.39,16.98,7.52,11.13,15.83
h_1,2.22,2.67,3.56,2.36,2.29,2.04,17.08,9.19,11.08,10.07,12.28,10.1,12.18,13.73,11.26,20.54
d_0,2.39,1.68,2.46,4.6,2.54,2.43,9.57,17.14,8.42,7.27,12.73,9.47,17.12,13.9,11.03,16.21
g_1,2.09,3.61,2.08,2.4,2.37,2.32,8.28,9.03,21.26,11.33,11.06,20.39,14.59,12.41,13.86,14.68
c_0,2.27,2.85,3.02,1.86,1.82,2.5,9.0,12.16,9.15,19.2,23.21,12.53,21.55,15.51,13.81,17.73
b_0,2.55,2.49,2.76,2.86,1.58,1.71,10.06,11.94,9.84,10.96,21.2,13.22,18.93,26.25,13.86,17.52
f_0,2.09,2.92,1.83,2.62,2.48,2.64,9.33,12.47,10.29,12.4,12.82,22.97,16.39,15.56,28.04,19.86
h_0,2.3,2.89,2.91,2.85,2.08,2.51,6.26,10.53,11.44,11.0,11.25,11.47,13.92,12.35,11.83,24.91
a_0,2.65,2.88,2.48,2.93,2.61,1.34,8.79,11.98,10.74,10.0,11.51,11.38,20.42,25.1,13.1,15.98
e_0,1.91,3.12,2.64,2.47,2.38,2.18,10.1,14.61,9.5,11.79,14.58,12.14,23.01,15.19,29.0,22.03
g_0,2.03,3.9,2.32,2.4,2.22,2.0,8.94,10.17,6.57,13.33,12.87,16.17,17.39,13.14,13.02,13.44
