,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.89,0.4,0.22,0.2,0.15,0.1,0.18,0.17,0.14,0.18,0.07,0.15,0.1,0.2,0.08,0.15
e_1,0.23,0.89,0.16,0.25,0.19,0.12,0.21,0.37,0.15,0.18,0.18,0.17,0.14,0.19,0.06,0.14
d_1,0.25,0.26,0.9,0.14,0.14,0.13,0.21,0.1,0.15,0.37,0.18,0.2,0.12,0.18,0.15,0.16
c_1,0.22,0.18,0.19,0.89,0.33,0.12,0.19,0.21,0.14,0.07,0.17,0.13,0.12,0.17,0.14,0.17
b_1,0.25,0.19,0.22,0.19,0.89,0.24,0.19,0.18,0.14,0.15,0.19,0.07,0.11,0.17,0.13,0.14
a_1,0.27,0.23,0.21,0.21,0.18,0.88,0.22,0.21,0.15,0.18,0.18,0.18,0.07,0.16,0.12,0.13
h_1,0.36,0.28,0.27,0.26,0.2,0.12,0.59,0.22,0.26,0.24,0.18,0.19,0.16,0.15,0.13,0.26
d_0,0.29,0.23,0.17,0.52,0.22,0.11,0.26,0.44,0.16,0.16,0.18,0.23,0.15,0.21,0.15,0.22
g_1,0.21,0.25,0.46,0.23,0.21,0.13,0.23,0.2,0.56,0.2,0.29,0.22,0.16,0.21,0.16,0.13
c_0,0.35,0.27,0.27,0.13,0.18,0.14,0.3,0.22,0.22,0.44,0.24,0.44,0.23,0.25,0.16,0.2
f_0,0.18,0.24,0.3,0.3,0.21,0.15,0.26,0.25,0.22,0.26,0.45,0.25,0.21,0.23,0.35,0.18
b_0,0.31,0.29,0.31,0.27,0.15,0.08,0.27,0.22,0.2,0.24,0.22,0.46,0.4,0.23,0.15,0.19
a_0,0.28,0.29,0.33,0.24,0.23,0.06,0.29,0.25,0.21,0.24,0.24,0.2,0.38,0.23,0.16,0.2
h_0,0.41,0.25,0.3,0.28,0.2,0.13,0.16,0.23,0.22,0.23,0.18,0.2,0.14,0.11,0.16,0.24
e_0,0.27,0.15,0.3,0.31,0.28,0.17,0.26,0.22,0.19,0.23,0.22,0.22,0.18,0.24,0.4,0.19
g_0,0.24,0.25,0.42,0.27,0.16,0.14,0.27,0.21,0.13,0.21,0.4,0.2,0.16,0.21,0.18,0.12
