,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.41,0.8,1.37,1.6,1.37,1.23,0.65,0.89,0.68,0.61,0.66,0.55,0.43,1.46,0.67,0.68
f_1,1.6,0.4,1.1,1.2,1.16,1.23,0.56,0.81,0.57,0.56,1.31,0.59,0.43,0.57,0.43,0.53
d_1,1.34,1.42,0.4,1.29,1.17,1.24,0.68,0.45,1.71,0.63,0.54,0.67,0.51,0.61,0.39,0.59
c_1,1.18,1.44,1.53,0.4,1.47,1.44,0.67,0.62,0.37,0.91,0.53,0.54,0.45,0.52,0.5,0.53
b_1,1.11,1.4,1.41,0.88,0.38,1.55,0.75,0.75,0.56,0.67,0.47,1.11,0.66,0.59,0.54,0.84
a_1,1.47,1.6,1.47,1.15,0.84,0.31,0.67,0.88,0.62,0.65,0.59,0.58,0.54,0.64,0.43,0.81
h_1,1.01,0.95,0.94,1.08,1.09,0.86,0.25,0.48,0.43,0.39,0.44,0.45,0.53,0.31,0.36,0.34
g_1,0.96,1.04,1.08,1.07,0.92,0.8,0.49,0.23,0.41,0.35,0.48,0.42,0.28,0.38,0.55,0.38
d_0,0.6,1.19,1.3,1.03,0.96,0.93,0.57,0.56,0.27,0.41,0.49,0.39,0.39,0.42,0.42,0.37
c_0,0.89,0.95,0.63,2.51,1.04,0.86,0.56,0.65,0.51,0.27,0.53,0.59,0.4,0.45,0.39,0.45
f_0,0.85,1.5,0.94,0.97,1.34,0.85,0.52,0.37,0.36,0.33,0.25,0.35,0.36,0.57,0.26,0.44
b_0,0.96,0.84,0.76,1.21,1.87,0.99,0.53,0.51,0.52,0.22,0.46,0.25,0.38,0.42,0.5,0.45
h_0,0.92,0.93,1.02,0.95,0.81,1.05,1.12,0.53,0.41,0.4,0.5,0.39,0.5,0.39,0.49,0.36
e_0,1.47,1.09,0.82,1.0,0.94,1.02,0.63,0.51,0.51,0.41,0.23,0.39,0.41,0.21,0.34,0.37
g_0,0.86,1.19,0.85,0.95,1.12,0.91,0.42,0.71,0.43,0.4,0.47,0.4,0.26,0.44,0.49,0.36
a_0,0.92,0.98,0.9,0.96,1.04,1.28,0.61,0.54,0.47,0.39,0.45,0.27,0.43,0.43,0.41,0.21
