,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.05,1.93,1.98,1.57,1.44,1.31,0.64,0.44,0.55,0.61,0.52,0.47,0.36,0.42,0.41,0.27
e_1,1.8,1.05,1.15,1.99,1.81,1.45,0.72,0.71,0.53,0.6,0.5,0.68,0.42,0.47,0.59,0.45
f_1,1.62,2.01,1.05,1.81,1.55,1.26,0.52,0.85,0.51,0.52,0.5,0.54,0.31,0.46,0.4,0.38
c_1,2.35,1.67,1.92,1.05,2.16,1.65,0.74,0.65,0.67,0.37,0.55,0.61,0.41,0.46,0.47,0.48
b_1,2.33,1.97,2.44,1.31,1.06,2.45,0.86,0.8,0.72,0.65,0.87,0.63,0.49,0.6,0.65,0.55
a_1,3.05,2.64,3.4,2.52,1.53,1.07,1.13,1.05,0.89,0.95,1.04,0.7,0.85,0.95,0.76,0.67
h_1,4.32,4.68,6.08,4.49,3.89,3.46,1.27,1.78,1.49,1.51,1.34,1.15,1.31,1.03,1.11,1.08
g_1,5.92,5.25,5.54,5.52,5.19,4.42,1.71,1.28,1.68,1.46,1.59,1.53,1.03,1.4,1.54,1.2
c_0,3.88,6.02,5.64,7.74,5.39,5.02,2.25,2.02,1.37,2.28,1.83,1.52,1.26,1.39,1.45,1.14
d_0,7.28,4.05,5.97,7.27,6.42,4.46,2.41,2.57,1.63,1.44,1.69,1.89,1.52,1.55,1.74,1.53
b_0,5.05,6.29,6.14,7.91,6.57,5.3,2.36,2.39,1.24,2.19,1.39,1.66,1.69,1.91,1.61,1.42
f_0,6.03,5.24,8.82,6.05,6.38,5.77,2.72,1.78,1.88,1.93,1.99,1.4,1.66,1.7,2.13,1.13
h_0,8.1,7.31,8.5,8.14,7.99,5.31,3.36,3.01,2.36,2.19,2.07,1.96,2.04,1.98,1.77,1.99
a_0,7.51,7.8,8.44,9.51,10.05,8.42,3.58,2.74,2.13,2.54,1.47,2.33,1.71,1.52,2.01,1.62
e_0,7.99,9.39,10.73,9.77,6.9,5.75,3.02,2.54,2.48,2.29,2.49,1.37,2.25,2.41,1.51,1.77
g_0,8.89,8.39,10.77,8.28,7.98,6.71,2.75,3.73,2.69,2.56,2.42,2.81,1.66,2.4,2.23,1.98
