,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.68,1.1,0.9,1.01,0.8,0.42,0.45,0.43,0.35,0.34,0.43,0.29,0.32,0.39,0.29
f_1,1.07,0.64,0.97,0.94,0.91,0.73,0.33,0.39,0.42,0.32,0.34,0.37,0.22,0.28,0.28,0.3
c_1,0.79,0.96,0.64,1.1,1.08,0.98,0.44,0.24,0.4,0.39,0.31,0.32,0.3,0.31,0.3,0.29
d_1,1.12,1.02,0.97,0.63,0.95,0.84,0.45,0.43,0.32,0.4,0.38,0.34,0.26,0.35,0.32,0.2
b_1,1.02,1.21,0.71,1.12,0.61,1.13,0.48,0.38,0.49,0.54,0.51,0.38,0.36,0.36,0.35,0.31
a_1,1.37,1.33,1.14,1.24,0.73,0.56,0.58,0.52,0.61,0.46,0.54,0.48,0.39,0.54,0.43,0.35
h_1,1.59,1.83,1.52,1.63,1.53,1.29,0.53,0.6,0.83,0.54,0.55,0.55,0.6,0.59,0.49,0.45
d_0,1.16,1.58,2.21,2.08,1.81,1.42,0.8,0.56,0.86,0.58,0.64,0.62,0.55,0.6,0.64,0.55
g_1,1.68,1.77,1.89,1.7,1.61,1.44,0.65,0.62,0.51,0.63,0.62,0.63,0.44,0.61,0.61,0.48
c_0,1.8,1.88,2.23,1.22,1.66,1.51,0.94,0.87,0.73,0.54,0.76,0.68,0.5,0.59,0.6,0.49
b_0,1.77,1.85,2.4,1.54,1.86,1.46,0.89,0.71,0.89,0.47,0.53,0.67,0.55,0.62,0.63,0.5
f_0,1.61,2.49,2.06,1.73,1.78,1.64,0.85,0.65,0.61,0.65,0.65,0.52,0.6,0.66,0.62,0.37
h_0,1.94,2.2,2.07,1.92,1.91,1.54,0.98,0.78,0.86,0.7,0.7,0.66,0.63,0.6,0.66,0.59
a_0,1.92,2.39,2.29,1.93,2.5,2.0,0.93,0.84,1.01,0.66,0.49,0.69,0.65,0.5,0.73,0.57
e_0,2.31,2.81,2.11,2.03,1.86,1.87,0.96,0.77,0.82,0.7,0.8,0.51,0.67,0.64,0.52,0.5
g_0,2.15,2.35,2.19,2.44,2.05,1.89,0.94,0.79,1.14,0.85,0.88,0.87,0.54,0.69,0.75,0.68
