,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.23,0.94,0.97,0.86,0.65,0.4,0.45,0.42,0.35,0.37,0.32,0.3,0.27,0.3,0.25
e_1,0.81,1.0,0.95,1.05,0.87,0.77,0.58,0.45,0.59,0.44,0.43,0.44,0.39,0.35,0.32,0.32
d_1,1.09,1.05,1.0,0.91,0.82,0.75,0.48,0.36,0.41,0.59,0.47,0.41,0.35,0.35,0.27,0.32
c_1,1.04,0.95,1.11,1.0,1.25,0.78,0.46,0.42,0.33,0.41,0.33,0.34,0.35,0.36,0.31,0.28
b_1,1.14,1.19,1.21,0.81,1.0,1.17,0.58,0.58,0.48,0.49,0.39,0.42,0.36,0.42,0.36,0.37
a_1,1.5,1.28,1.31,1.27,0.86,1.0,0.73,0.65,0.58,0.57,0.55,0.49,0.53,0.63,0.42,0.43
h_1,2.51,1.77,1.94,2.14,1.67,1.35,1.0,1.1,0.91,0.86,0.81,0.71,0.64,0.73,0.71,0.66
g_1,2.22,2.12,2.75,2.34,1.83,1.63,0.9,1.0,0.86,0.9,0.81,0.99,0.66,0.63,0.76,0.65
d_0,2.32,1.69,2.39,3.06,2.16,1.72,1.07,1.18,1.0,0.77,0.9,0.82,0.82,0.86,0.71,0.69
c_0,2.85,2.27,1.69,2.58,1.93,1.66,1.14,1.15,1.31,1.0,1.4,0.95,0.91,0.87,0.74,0.79
b_0,2.84,2.3,2.13,3.05,2.61,1.67,1.25,1.23,1.13,0.74,1.0,0.82,1.18,0.99,0.85,0.76
f_0,3.12,2.39,2.47,2.78,2.42,2.14,1.43,0.93,1.23,1.01,1.19,1.0,0.9,0.97,0.72,1.33
a_0,3.38,2.55,2.75,2.82,2.83,2.1,1.54,1.47,1.22,1.07,0.91,1.11,1.0,0.99,0.91,0.8
h_0,3.72,2.91,2.89,2.8,2.52,1.62,1.33,1.53,1.16,1.14,1.02,1.03,0.98,1.0,0.97,0.81
g_0,3.41,3.12,3.57,3.2,2.75,2.56,1.42,1.24,1.35,1.29,1.19,1.46,1.13,1.03,1.0,1.01
e_0,3.92,3.07,3.13,3.77,2.75,2.37,1.46,1.58,1.27,1.21,1.34,0.72,1.21,1.21,0.96,1.0
