,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,1.43,1.18,1.05,1.23,1.13,0.45,0.51,0.47,0.59,0.41,0.56,0.28,0.37,0.38,0.43
e_1,0.86,0.66,1.65,1.22,1.25,1.37,0.61,0.58,0.46,0.62,0.5,0.56,0.44,0.66,0.47,0.41
c_1,1.47,1.03,0.64,1.58,1.6,1.31,0.69,0.31,0.62,0.49,0.4,0.43,0.39,0.45,0.4,0.37
d_1,1.49,1.47,1.42,0.63,1.32,1.1,0.53,0.78,0.53,0.43,0.53,0.44,0.43,0.36,0.42,0.25
b_1,1.6,1.77,0.83,1.49,0.62,1.55,0.65,0.53,0.59,0.66,0.86,0.53,0.49,0.44,0.47,0.43
a_1,1.84,1.63,1.61,2.06,0.88,0.58,0.86,0.73,0.66,0.76,0.96,0.59,0.46,0.63,1.67,0.5
h_1,2.1,2.2,2.04,2.06,1.91,1.45,0.56,0.78,0.66,1.01,0.66,0.73,0.74,0.67,0.82,0.66
d_0,2.12,1.39,2.55,2.53,2.42,1.72,1.01,0.62,0.75,1.05,0.8,0.78,0.62,0.75,0.6,0.77
c_0,2.45,2.23,3.68,1.38,2.21,1.87,1.04,0.99,0.59,1.1,0.96,0.86,0.61,0.74,0.75,0.62
g_1,2.35,2.16,2.5,2.41,2.29,1.72,0.79,0.83,0.78,0.54,0.78,0.8,0.52,0.82,0.83,0.59
b_0,2.54,2.01,3.49,1.92,3.98,1.73,1.04,0.91,0.5,1.03,0.57,0.74,0.66,0.83,0.89,0.63
f_0,3.47,2.41,2.42,2.41,2.3,1.85,1.01,0.9,0.82,0.74,0.89,0.56,0.73,0.87,0.84,0.45
h_0,2.98,2.29,2.64,2.22,2.45,2.32,1.51,0.99,0.9,1.2,0.87,0.92,0.89,0.85,0.73,0.84
e_0,4.27,3.01,2.41,3.04,2.56,2.26,1.21,0.88,1.03,1.03,0.92,0.59,0.89,0.57,0.89,0.76
a_0,2.97,2.57,3.56,2.79,3.69,2.63,1.21,1.15,0.84,1.21,0.53,0.89,0.87,0.97,0.55,0.68
g_0,2.75,3.0,3.2,3.12,2.56,2.66,0.97,1.0,0.96,1.95,1.03,1.08,0.65,0.82,0.96,0.94
