,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.9,1.15,0.99,0.79,0.71,0.86,0.61,0.73,0.65,0.75,0.64,0.58,0.62,0.56
f_1,1.24,1.0,0.91,1.0,0.85,0.71,0.62,0.66,0.6,0.69,0.65,0.59,0.49,0.52,0.46,0.62
d_1,1.11,1.09,1.0,0.84,0.95,0.86,0.7,0.61,0.85,0.53,0.67,0.63,0.61,0.58,0.55,0.47
c_1,0.87,0.99,1.21,1.0,1.33,0.9,0.73,0.52,0.61,0.64,0.58,0.6,0.59,0.53,0.6,0.6
b_1,1.02,1.16,1.06,0.77,1.0,1.38,0.8,0.71,0.79,0.89,0.75,0.74,0.64,0.6,0.6,0.59
a_1,1.24,1.42,1.13,1.12,0.73,1.0,0.94,0.85,0.71,0.65,0.8,0.69,0.75,0.75,0.72,0.75
h_1,1.4,1.59,1.41,1.38,1.24,1.03,1.0,0.95,0.93,1.11,0.9,0.89,0.81,0.81,0.69,0.92
d_0,1.18,1.49,1.53,1.93,1.49,1.19,1.05,1.0,0.87,1.07,0.87,0.95,0.94,0.86,0.87,0.95
c_0,1.65,1.73,1.15,1.64,1.32,1.38,1.14,1.1,1.0,1.03,1.24,0.93,0.88,0.98,0.84,0.86
g_1,1.36,1.47,1.92,1.52,1.13,1.5,0.93,0.93,0.93,1.0,0.91,1.08,0.73,0.72,0.94,0.86
b_0,1.55,1.57,1.46,1.75,1.35,1.23,1.17,1.05,0.79,1.12,1.0,0.94,0.93,1.28,0.83,0.87
f_0,1.36,1.69,1.6,1.71,1.32,1.48,1.09,1.06,1.06,0.89,1.0,1.0,0.98,0.85,1.21,0.71
h_0,1.62,2.0,1.61,1.68,1.6,1.34,1.3,1.05,1.1,1.38,1.06,1.02,1.0,0.92,0.98,1.06
a_0,1.78,1.84,1.76,1.73,1.72,1.2,1.25,1.1,1.03,1.39,0.8,1.15,1.15,1.0,0.89,0.92
e_0,1.72,2.28,1.78,1.63,1.53,1.4,1.49,1.19,1.23,1.06,1.28,0.83,1.03,1.04,1.0,0.96
g_0,1.75,1.59,2.05,1.68,1.7,1.32,1.09,1.07,1.15,1.14,1.13,1.34,0.92,1.09,1.1,1.0
