,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,119.69,85.83,83.72,98.08,157.52,332.7,10759.34,16411.03,30451.79,35781.38,31082.41,51877.8,102977.07,99243.69,115047.23,221598.21
f_1,75.24,122.57,117.49,110.96,146.85,334.18,10548.46,15675.41,17253.22,27072.62,34907.4,39484.71,86534.97,91183.11,87397.42,207878.29
e_1,66.62,74.81,123.4,140.12,159.67,328.71,11031.81,17760.82,19028.25,27214.66,50007.76,53446.39,105388.64,91132.32,106972.59,223157.56
c_1,75.92,72.01,62.36,158.63,221.0,319.58,10102.35,15089.12,14368.23,20462.52,23812.98,47103.97,82881.47,84285.06,97552.15,198182.71
b_1,66.19,67.37,64.79,79.59,209.92,461.21,8665.34,12730.8,16463.9,20170.56,20519.18,39717.62,82494.27,69215.14,92242.66,192473.72
a_1,50.17,55.37,52.27,71.54,77.23,404.39,7356.19,11201.17,12989.64,22006.38,21926.34,29487.0,69530.49,60961.57,76811.22,147294.69
h_1,21.37,24.68,19.51,27.08,37.88,82.94,3565.39,4967.12,4542.02,6930.73,6683.29,12477.17,21625.43,23664.22,26556.1,69052.99
g_1,21.84,17.45,15.11,22.68,32.8,68.06,2123.08,5129.08,4757.05,6207.24,5875.84,14682.85,22041.54,19398.25,27334.52,44191.69
c_0,15.56,18.52,17.04,24.34,27.17,70.75,2391.92,3660.29,5181.55,9703.82,7827.74,11839.57,24205.63,26624.38,26212.0,54606.63
b_0,14.2,16.82,16.1,24.11,26.93,52.86,2258.55,3353.64,3232.89,6807.43,6683.37,10219.14,19937.24,26762.98,23511.34,43836.18
d_0,10.79,13.91,12.54,31.93,35.68,53.79,2234.2,3261.68,2858.89,4764.32,7245.24,10198.44,17409.98,17168.23,23254.99,41215.2
f_0,13.43,12.65,10.3,19.36,26.14,55.69,1756.14,2637.4,3210.29,5201.48,4979.72,10465.17,17349.94,14645.47,31960.96,36325.95
h_0,11.44,12.18,10.07,16.0,20.94,39.54,1375.17,2775.4,2571.84,4033.78,4209.82,7323.25,12111.77,12269.57,17558.08,37258.96
a_0,10.94,10.52,10.24,15.81,21.31,34.63,1460.72,2213.49,2376.6,3394.12,4252.96,7317.8,14750.68,16845.7,13812.56,34228.49
e_0,10.87,11.1,8.2,15.71,19.53,37.71,1406.34,2132.5,2391.14,3920.74,3396.18,5056.49,13217.74,13514.81,19738.4,32314.68
g_0,10.35,7.62,7.66,11.8,15.86,33.22,1121.12,1630.59,1955.63,3027.18,2864.22,6709.64,9229.59,8748.82,11835.29,21110.88
