,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.84,1.32,0.94,0.93,0.52,0.43,0.43,0.42,0.36,0.41,0.29,0.25,0.3,0.21,0.31
d_1,1.18,1.0,0.95,0.86,0.82,0.74,0.56,0.41,0.39,0.64,0.41,0.39,0.38,0.37,0.34,0.26
e_1,0.76,1.06,1.0,1.14,0.89,0.83,0.49,0.65,0.5,0.38,0.44,0.47,0.4,0.32,0.38,0.34
c_1,1.06,1.18,0.88,1.0,1.32,0.84,0.42,0.33,0.46,0.38,0.37,0.38,0.38,0.34,0.28,0.33
b_1,1.07,1.23,1.12,0.75,1.0,1.14,0.63,0.5,0.47,0.5,0.43,0.39,0.45,0.32,0.41,0.39
a_1,1.92,1.36,1.21,1.19,0.88,1.0,0.67,0.58,0.69,0.56,0.53,0.52,0.51,0.45,0.49,0.39
h_1,2.3,1.84,2.01,2.33,1.6,1.45,1.0,0.81,1.03,0.81,0.8,0.76,0.7,0.57,0.62,0.79
d_0,2.28,2.43,1.5,2.98,2.17,1.78,1.26,1.0,0.92,0.79,1.01,0.89,0.75,0.7,0.78,0.7
g_1,2.3,2.58,2.03,2.17,2.03,1.47,1.0,1.05,1.0,0.93,0.94,1.13,0.72,0.85,0.7,0.86
c_0,2.76,1.57,2.53,2.64,1.9,1.77,1.24,1.29,1.09,1.0,1.48,0.93,0.94,0.75,0.78,0.78
b_0,2.54,2.43,2.24,2.74,2.31,1.83,1.23,0.97,1.07,0.68,1.0,0.9,0.97,1.17,0.88,0.77
f_0,3.35,2.46,2.21,2.78,2.49,2.12,1.23,1.12,0.94,1.11,1.06,1.0,0.92,0.84,1.28,0.66
h_0,3.72,2.7,2.47,2.74,2.28,1.84,1.44,1.34,1.48,1.07,1.02,1.1,1.0,0.77,0.78,1.11
a_0,3.24,2.68,2.75,3.01,3.17,2.24,1.81,1.4,1.25,1.46,0.86,1.27,1.32,1.0,0.83,0.99
e_0,5.02,2.88,2.69,3.38,2.64,2.07,1.65,1.31,1.43,1.31,1.2,0.82,1.2,1.31,1.0,0.9
g_0,3.26,3.94,2.73,3.13,2.68,2.67,1.3,1.37,1.16,1.33,1.28,1.46,0.87,0.99,1.09,1.0
