,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.83,1.43,1.35,1.45,1.47,0.66,0.68,0.61,0.78,0.56,0.6,0.59,0.5,0.91,0.54
f_1,1.43,0.41,1.21,1.3,1.17,1.11,0.54,0.61,0.55,0.77,0.56,1.17,0.39,0.6,0.59,0.56
c_1,1.16,1.39,0.4,1.66,1.56,1.07,0.71,0.33,0.79,0.74,0.48,0.52,0.5,0.64,0.6,0.49
d_1,1.59,1.2,1.21,0.39,1.34,1.12,0.67,1.59,0.61,0.5,0.59,0.71,0.44,0.62,0.57,0.3
b_1,1.22,1.54,0.78,1.24,0.36,1.89,0.74,0.62,0.74,0.78,1.08,0.5,0.44,0.59,0.58,0.54
a_1,1.37,1.38,1.44,1.65,0.66,0.31,0.7,0.67,0.59,0.76,0.78,0.58,0.69,0.96,0.57,0.58
h_1,1.01,1.06,0.96,0.89,0.91,0.95,0.25,0.43,0.45,0.49,0.43,0.35,0.53,0.36,0.42,0.39
d_0,0.6,1.02,1.29,1.22,1.03,0.94,0.57,0.29,0.35,0.49,0.47,0.43,0.35,0.44,0.38,0.42
c_0,0.87,1.13,2.18,0.62,1.1,0.82,0.52,0.53,0.27,0.58,0.56,0.39,0.37,0.4,0.41,0.48
g_1,0.91,1.09,1.04,0.93,1.01,0.94,0.48,0.45,0.41,0.22,0.47,0.49,0.29,0.41,0.38,0.6
b_0,0.82,1.07,1.34,0.76,2.62,0.89,0.61,0.4,0.24,0.54,0.25,0.41,0.35,0.46,0.36,0.44
f_0,0.8,1.96,1.04,0.82,1.18,1.02,0.55,0.4,0.4,0.32,0.43,0.24,0.4,0.41,0.41,0.3
h_0,0.85,1.15,0.94,0.91,0.96,0.87,1.21,0.41,0.42,0.66,0.41,0.43,0.64,0.38,0.47,0.34
a_0,1.06,0.95,0.9,0.79,1.22,,0.54,0.44,0.49,0.46,0.28,0.44,0.42,0.21,0.34,0.44
e_0,1.85,0.99,0.98,0.82,0.83,1.05,0.48,0.46,0.45,0.46,0.46,0.27,0.39,0.5,0.21,0.35
g_0,0.89,1.05,0.95,0.99,0.93,0.95,0.46,0.42,0.36,0.7,0.37,0.42,0.32,0.44,0.42,0.54
