,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.92,0.41,0.49,0.3,0.34,0.25,0.35,0.64,0.31,0.34,0.34,0.28,0.38,0.23,0.29,0.18
f_1,0.68,0.92,0.37,0.33,0.3,0.23,0.36,0.4,0.26,0.33,0.24,0.29,0.32,0.21,0.28,0.16
c_1,0.37,0.39,0.92,0.35,0.6,0.26,0.35,0.36,0.26,0.2,0.32,0.21,0.36,0.21,0.3,0.18
d_1,0.4,0.47,0.3,0.92,0.31,0.24,0.39,0.28,0.31,0.59,0.33,0.35,0.39,0.23,0.37,0.21
b_1,0.38,0.4,0.37,0.36,0.9,0.51,0.38,0.36,0.31,0.31,0.33,0.23,0.35,0.21,0.24,0.2
a_1,0.43,0.37,0.39,0.45,0.36,0.89,0.38,0.37,0.34,0.34,0.36,0.29,0.38,0.15,0.28,0.23
h_1,0.43,0.55,0.39,0.47,0.36,0.24,0.67,0.36,0.42,0.36,0.34,0.28,0.32,0.23,0.37,0.21
d_0,0.42,0.41,0.72,0.3,0.4,0.23,0.4,0.57,0.3,0.24,0.33,0.26,0.39,0.25,0.3,0.23
g_1,0.39,0.4,0.42,0.57,0.36,0.23,0.4,0.38,0.63,0.39,0.49,0.31,0.36,0.22,0.28,0.23
c_0,0.49,0.5,0.34,0.45,0.28,0.24,0.44,0.47,0.32,0.57,0.39,0.56,0.4,0.32,0.34,0.23
f_0,0.4,0.4,0.47,0.45,0.39,0.21,0.43,0.41,0.35,0.38,0.54,0.35,0.45,0.27,0.37,0.41
b_0,0.45,0.52,0.44,0.39,0.28,0.21,0.43,0.49,0.33,0.41,0.33,0.57,0.39,0.49,0.31,0.24
h_0,0.47,0.57,0.38,0.47,0.37,0.24,0.33,0.38,0.38,0.37,0.32,0.33,0.31,0.25,0.38,0.23
a_0,0.45,0.5,0.45,0.38,0.34,0.23,0.47,0.46,0.34,0.37,0.38,0.35,0.39,0.47,0.31,0.28
g_0,0.42,0.42,0.35,0.56,0.37,0.25,0.46,0.38,0.28,0.44,0.52,0.34,0.34,0.24,0.28,0.28
e_0,0.38,0.47,0.49,0.52,0.35,0.21,0.43,0.42,0.35,0.36,0.32,0.29,0.42,0.28,0.38,0.44
