,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.39,1.2,0.69,0.82,0.63,0.64,1.61,1.31,1.83,1.69,1.86,0.63,1.92,1.57,0.95,2.44
e_1,0.73,2.41,0.69,0.89,0.77,0.73,1.29,1.47,2.5,1.6,1.94,2.1,2.15,1.89,1.02,1.43
d_1,0.82,0.69,2.53,0.61,0.77,0.86,1.61,1.34,0.8,2.8,1.77,1.71,2.03,1.58,2.02,1.76
c_1,0.67,0.75,0.74,2.53,1.4,0.84,1.6,1.26,1.61,0.55,1.13,1.66,1.93,0.98,1.52,2.03
b_1,0.91,0.67,0.76,0.58,2.72,1.3,1.46,1.74,1.47,1.83,0.89,1.71,2.21,1.81,1.94,2.14
a_1,0.92,0.76,0.84,0.78,0.58,3.32,1.72,1.54,1.71,1.62,1.82,1.35,2.26,1.21,1.51,2.04
h_1,1.31,1.09,1.04,0.96,0.88,0.7,3.84,2.57,2.17,1.56,2.21,2.12,2.19,2.64,2.66,4.08
g_1,0.97,0.91,1.46,1.08,0.83,0.8,1.46,4.22,1.79,2.18,2.14,3.35,2.86,2.02,2.71,1.72
d_0,1.05,0.94,0.49,1.68,0.98,0.92,2.02,2.23,3.6,1.98,2.22,2.47,2.23,2.12,2.41,2.94
c_0,1.21,0.99,1.03,0.79,0.84,0.88,2.17,2.28,2.34,3.96,4.0,2.5,3.29,2.6,3.19,3.22
b_0,0.99,1.03,1.09,1.29,0.67,0.65,2.09,2.22,2.34,2.1,4.17,2.57,3.36,4.26,2.29,3.11
f_0,0.71,0.83,1.27,1.14,0.93,1.18,2.09,1.59,2.31,2.21,2.39,4.37,2.97,2.63,4.96,3.24
h_0,1.09,0.97,1.17,1.16,0.95,0.91,1.1,2.19,2.41,1.83,2.1,2.28,1.55,2.34,2.27,3.76
a_0,1.18,0.75,1.19,1.2,1.14,,1.84,2.31,2.06,1.99,1.66,2.5,3.15,4.63,2.27,2.88
e_0,1.25,0.45,1.1,1.25,1.12,1.08,2.06,1.8,2.47,1.83,2.51,1.78,3.14,2.95,4.83,2.99
g_0,0.88,1.18,1.54,1.0,0.83,0.81,1.35,2.07,1.89,1.97,2.1,2.82,2.38,2.62,2.45,
