,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.71,0.59,0.73,0.42,0.46,0.6,0.99,2.26,1.05,0.88,1.11,1.08,0.86,1.1,0.65,0.91
f_1,1.16,16.99,0.5,0.63,0.44,0.45,0.75,0.75,0.82,0.82,0.88,0.4,0.98,1.08,0.55,0.97
c_1,0.45,0.49,17.17,0.53,1.37,0.48,0.78,0.83,0.28,0.72,0.57,0.98,0.94,0.95,0.89,0.99
d_1,0.62,0.52,0.45,18.11,0.68,0.51,0.82,0.36,1.93,0.97,1.15,0.97,0.99,0.75,0.9,0.87
b_1,0.46,0.68,0.52,0.55,19.54,1.33,0.85,0.7,0.99,0.81,0.32,0.84,0.89,0.69,0.82,0.86
a_1,0.54,0.66,0.55,0.69,0.39,27.68,1.15,0.98,0.73,0.82,0.99,1.06,1.01,0.41,1.27,0.91
h_1,0.65,1.14,0.73,0.82,0.63,0.58,5.01,1.02,1.13,1.75,1.07,1.14,0.72,1.0,1.45,1.74
d_0,0.67,0.73,2.09,0.38,0.68,0.74,1.01,2.88,0.82,1.02,1.33,1.35,1.38,1.05,1.37,1.27
c_0,0.79,1.04,0.49,0.81,0.36,0.79,1.17,1.21,2.95,1.12,3.61,1.03,1.54,1.6,1.56,1.35
g_1,0.65,0.47,0.76,1.7,0.53,0.74,1.03,0.96,1.17,6.03,1.28,2.05,1.17,0.89,1.24,0.64
b_0,0.73,0.77,0.93,0.84,0.37,0.51,1.31,1.24,1.35,1.2,3.99,1.16,1.36,3.12,1.35,1.36
f_0,0.53,0.44,0.97,0.77,0.86,0.7,1.22,1.4,1.1,1.33,1.32,3.62,1.25,1.16,3.15,1.2
h_0,0.59,1.25,0.9,0.8,0.69,0.69,0.63,1.08,1.0,1.48,1.36,1.0,0.84,1.31,1.23,1.78
a_0,0.7,0.77,0.81,0.85,0.75,0.41,1.31,1.23,1.02,1.43,1.21,1.27,1.99,4.3,1.17,1.32
e_0,0.3,0.99,0.77,0.82,0.8,0.71,1.61,1.05,1.37,1.2,1.44,1.3,1.39,1.35,4.66,1.36
g_0,0.5,0.64,0.76,1.38,0.8,0.62,1.27,0.81,1.14,0.91,1.23,2.18,0.96,1.52,1.69,0.98
