,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,2.42,4.18,4.25,4.06,3.19,1.88,2.24,1.7,1.78,1.67,1.77,1.08,1.65,,1.06
f_1,4.01,0.42,3.62,3.68,3.24,3.43,1.54,1.86,1.54,1.58,1.71,,1.02,1.55,1.49,1.83
d_1,4.04,3.72,0.4,3.25,3.33,4.89,1.87,1.26,1.76,,1.7,1.42,1.6,1.36,1.71,0.96
c_1,2.93,3.03,4.6,0.38,4.84,4.09,1.89,1.55,,1.17,1.56,1.69,1.32,2.07,1.43,1.28
b_1,3.27,4.02,3.24,2.1,0.37,3.92,2.87,2.57,1.88,1.64,,1.41,1.53,,1.43,1.51
a_1,4.69,5.14,3.06,3.31,2.57,0.31,1.91,1.87,1.47,1.92,1.6,1.24,1.14,,,1.92
h_1,1.79,1.83,1.93,1.95,1.32,1.56,0.27,1.05,0.83,0.74,0.78,0.78,,1.11,0.67,0.98
g_1,1.5,2.73,2.0,2.19,1.75,2.34,0.65,0.24,0.91,1.1,0.8,0.86,0.58,0.73,0.72,
c_0,1.61,1.97,1.05,,1.73,1.47,0.73,0.79,0.29,0.89,0.88,0.73,0.56,0.73,0.81,0.47
d_0,1.11,1.62,,1.79,1.84,1.49,0.87,0.86,0.68,0.28,0.72,0.8,0.66,0.69,0.71,0.59
b_0,1.67,1.49,1.6,2.39,,2.06,0.82,0.95,0.43,0.66,0.28,0.59,0.69,0.92,0.73,0.52
f_0,1.58,,1.93,1.45,1.46,1.95,1.09,0.58,0.73,0.64,0.72,0.26,0.73,0.54,0.71,0.47
h_0,1.74,1.33,0.93,1.36,1.08,1.24,,0.71,0.59,0.62,0.57,0.47,,0.52,0.58,0.61
a_0,1.58,1.55,1.74,1.29,,,0.78,1.09,0.81,0.76,0.38,1.03,0.8,0.23,,
e_0,,1.38,1.71,1.58,1.83,,1.13,1.01,0.63,0.55,0.66,0.6,0.62,,0.21,0.71
g_0,1.74,1.31,1.6,1.12,1.16,0.96,0.55,,0.69,0.59,0.59,0.67,0.33,,0.6,
