,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.46,31.53,32.1,23.5,27.6,32.3,5.97,7.65,9.64,10.29,5.33,,3.09,,5.68,6.21
e_1,16.3,0.45,39.65,29.3,43.0,42.0,8.93,5.87,5.76,12.85,6.0,7.16,5.78,,6.73,4.91
c_1,34.04,36.84,0.42,52.07,31.54,53.06,12.12,3.26,,8.74,8.75,4.55,5.38,6.3,6.96,5.44
d_1,40.43,35.33,37.52,0.42,33.06,43.03,8.95,,7.09,5.46,8.26,6.8,7.32,4.97,6.5,2.45
b_1,32.76,53.32,18.79,35.84,0.4,33.2,10.93,8.97,7.73,11.23,,7.3,5.05,6.23,,5.11
a_1,52.71,36.04,49.3,64.89,18.76,0.34,13.57,10.1,8.7,12.01,,12.33,5.63,,,6.04
h_1,13.86,19.33,18.91,23.69,15.19,15.36,0.36,4.15,2.49,8.67,3.12,3.19,,5.21,5.18,2.47
d_0,13.84,9.4,13.71,,17.08,13.09,3.96,0.52,3.13,4.51,4.16,2.69,1.73,1.82,2.59,2.72
c_0,16.23,19.43,,9.2,17.68,13.67,5.36,3.11,0.48,3.24,2.96,4.12,1.57,3.28,4.26,1.87
g_1,20.41,28.47,18.5,20.93,32.6,16.29,3.99,5.1,3.74,0.32,4.9,5.45,1.96,,,
b_0,26.19,15.21,22.16,17.51,,,4.14,3.07,2.27,4.94,0.43,3.5,1.7,,2.72,2.78
f_0,,16.42,16.19,16.26,17.98,17.36,3.85,4.09,3.39,3.01,3.63,0.44,4.14,3.13,,1.38
h_0,14.1,12.39,11.01,10.68,11.47,14.21,,2.32,2.54,3.18,2.09,2.95,,2.86,1.98,1.89
e_0,,,17.54,20.79,16.19,,5.94,3.01,5.79,,,1.49,3.64,0.38,,3.11
a_0,25.26,20.18,21.37,19.64,,,5.92,5.45,4.42,,2.26,,2.42,,0.36,
g_0,16.08,13.68,18.37,15.5,24.91,14.44,3.12,3.62,2.56,,2.72,3.05,1.57,2.45,,
