,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.48,0.72,0.77,0.69,0.64,0.38,0.4,0.35,0.3,0.32,0.37,0.33,0.28,0.34,0.32
f_1,0.72,0.41,0.63,0.67,0.62,0.62,0.29,0.42,0.32,0.32,0.31,0.36,0.27,0.2,0.27,0.24
d_1,0.7,0.7,0.39,0.66,0.64,0.66,0.34,0.26,0.37,0.34,0.34,0.3,0.3,0.24,0.29,0.18
c_1,0.55,0.69,0.8,0.38,0.81,0.66,0.36,0.34,0.2,0.31,0.27,0.3,0.3,0.24,0.28,0.25
b_1,0.68,0.75,0.69,0.43,0.36,0.81,0.4,0.38,0.31,0.35,0.4,0.37,0.26,0.29,0.3,0.3
a_1,0.7,0.76,0.69,0.7,0.41,0.3,0.47,0.42,0.33,0.34,0.37,0.27,0.4,0.29,0.34,0.3
h_1,0.63,0.71,0.63,0.6,0.59,0.51,0.24,0.37,0.28,0.28,0.29,0.3,0.26,0.28,0.26,0.27
g_1,0.62,0.69,0.66,0.63,0.59,0.53,0.27,0.22,0.3,0.29,0.29,0.3,0.28,0.24,0.27,0.23
d_0,0.42,0.65,0.74,0.78,0.71,0.67,0.35,0.36,0.24,0.27,0.28,0.27,0.28,0.25,0.31,0.28
c_0,0.69,0.65,0.4,0.98,0.75,0.59,0.35,0.35,0.38,0.23,0.34,0.27,0.31,0.26,0.28,0.21
b_0,0.62,0.62,0.51,0.81,0.83,0.55,0.36,0.34,0.32,0.18,0.22,0.28,0.32,0.25,0.29,0.25
f_0,0.61,0.82,0.58,0.65,0.57,0.64,0.33,0.25,0.33,0.28,0.27,0.2,0.27,0.28,0.31,0.18
a_0,0.56,0.72,0.61,0.63,0.77,0.65,0.32,0.33,0.28,0.23,0.19,0.24,0.21,0.26,0.3,0.26
h_0,0.59,0.73,0.62,0.67,0.56,0.53,0.41,0.31,0.27,0.26,0.29,0.24,0.25,0.28,0.27,0.25
e_0,0.8,0.8,0.56,0.64,0.61,0.55,0.33,0.32,0.29,0.26,0.27,0.15,0.24,0.21,0.19,0.22
g_0,0.67,0.69,0.63,0.71,0.57,0.51,0.26,0.39,0.29,0.28,0.3,0.27,0.24,0.19,0.26,0.25
