,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,0.99,0.85,0.87,0.88,0.74,0.88,0.87,0.49,0.73,0.61,0.57,0.58,0.56,0.4
f_1,0.88,1.0,1.26,1.11,0.95,0.72,0.62,0.66,0.72,0.62,0.62,0.59,0.59,0.46,0.42,0.57
e_1,1.01,0.79,1.0,0.99,0.99,0.83,0.75,0.97,0.63,0.84,0.68,0.66,0.68,0.59,0.49,0.63
c_1,1.18,0.9,1.01,1.0,1.3,0.69,0.71,0.5,0.53,0.73,0.52,0.63,0.64,0.62,0.62,0.69
b_1,1.16,1.05,1.01,0.77,1.0,1.59,0.83,0.79,0.62,0.67,0.69,0.67,0.6,0.6,0.64,0.5
a_1,1.13,1.39,1.2,1.44,0.63,1.0,0.69,0.63,0.74,0.76,0.81,0.94,0.67,0.75,0.67,0.72
h_1,1.37,1.65,1.34,1.4,1.23,1.34,1.0,0.94,0.82,1.11,0.8,0.84,0.81,0.74,0.87,0.92
d_0,1.1,1.47,0.95,2.13,1.3,1.64,1.09,1.0,0.96,1.0,1.15,0.94,0.98,0.96,0.84,0.95
c_0,1.14,1.4,1.58,1.9,1.59,1.34,1.21,1.08,1.0,1.07,1.23,0.93,0.95,0.96,0.77,1.07
g_1,2.0,1.52,1.18,1.36,1.5,1.3,0.92,1.0,0.96,1.0,0.91,1.08,0.72,0.64,0.77,0.95
b_0,1.33,1.7,1.42,1.99,1.6,1.13,1.24,0.89,0.8,1.12,1.0,0.99,0.94,1.2,1.16,0.85
f_0,1.74,1.82,1.47,1.59,1.48,1.11,1.16,1.2,1.03,0.94,0.99,1.0,1.06,1.04,1.36,0.7
h_0,1.77,1.8,1.37,1.58,1.67,1.45,1.15,1.05,1.08,1.34,1.08,0.98,1.0,1.06,0.81,1.18
a_0,1.71,2.13,1.72,1.65,1.76,1.37,1.35,0.93,1.0,1.55,0.83,0.93,0.92,1.0,0.89,0.87
e_0,1.75,2.39,2.36,1.71,1.58,1.44,1.07,1.17,1.35,1.3,0.93,0.73,1.18,1.0,1.0,0.92
g_0,2.41,1.83,1.5,1.44,1.97,1.36,1.11,1.03,1.06,1.1,1.09,1.38,0.84,1.06,1.08,1.0
