,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.4,0.45,0.79,0.62,0.72,0.65,0.39,0.39,0.31,0.4,0.33,0.37,0.28,0.31,0.43,0.31
f_1,0.77,0.39,0.66,0.69,0.59,0.59,0.28,0.3,0.27,0.42,0.31,0.34,0.2,0.3,0.23,0.28
c_1,0.54,0.74,0.39,0.75,0.83,0.63,0.34,0.2,0.32,0.32,0.26,0.27,0.24,0.29,0.29,0.26
d_1,0.79,0.64,0.68,0.39,0.69,0.6,0.35,0.39,0.32,0.24,0.32,0.3,0.25,0.27,0.29,0.19
b_1,0.69,0.8,0.43,0.62,0.36,0.99,0.39,0.31,0.46,0.41,0.4,0.29,0.27,0.28,0.3,0.24
a_1,0.66,0.76,0.7,0.7,0.39,0.32,0.45,0.34,0.29,0.38,0.37,0.34,0.29,0.38,0.33,0.29
h_1,0.59,0.72,0.68,0.61,0.55,0.51,0.24,0.3,0.27,0.4,0.29,0.27,0.28,0.28,0.25,0.25
d_0,0.4,0.67,0.76,0.78,0.69,0.58,0.36,0.24,0.28,0.37,0.29,0.29,0.28,0.26,0.31,0.29
c_0,0.61,0.68,0.88,0.45,0.55,0.68,0.35,0.38,0.24,0.34,0.33,0.29,0.29,0.33,0.28,0.24
g_1,0.58,0.6,0.7,0.69,0.61,0.57,0.27,0.3,0.29,0.22,0.29,0.31,0.21,0.24,0.26,0.25
b_0,0.58,0.65,0.93,0.53,0.73,0.54,0.34,0.31,0.17,0.34,0.21,0.27,0.25,0.35,0.26,0.25
f_0,0.55,0.92,0.63,0.6,0.64,0.56,0.37,0.29,0.32,0.24,0.3,0.21,0.28,0.29,0.33,0.18
h_0,0.61,0.67,0.63,0.62,0.6,0.56,0.35,0.27,0.25,0.36,0.26,0.26,0.26,0.23,0.25,0.26
a_0,0.56,0.61,0.6,0.76,0.8,0.79,0.34,0.29,0.25,0.37,0.17,0.28,0.24,0.19,0.27,0.21
e_0,0.59,0.85,0.65,0.63,0.65,0.52,0.31,0.28,0.26,0.32,0.3,0.17,0.24,0.29,0.19,0.21
g_0,0.58,0.63,0.58,0.71,0.64,0.63,0.27,0.27,0.26,0.39,0.27,0.31,0.19,0.28,0.28,0.25
