,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,11098.1,4481.8,8439.71,9053.11,10550.17,30770.13,4407440.08,10118376.43,18395362.54,27712310.67,43567086.0,31159303.65,173718503.87,191657343.11,256517771.72,164241559.87
d_1,4387.99,14085.48,4821.37,6305.45,11870.63,33671.88,4805449.55,13696200.0,33349355.7,17896170.86,58208957.22,55208125.88,168925357.46,217025704.95,365572043.71,250799822.91
e_1,4719.41,4455.03,14558.42,10193.56,11060.13,31038.36,4393057.31,13464917.83,17463809.86,45833893.21,47330527.46,53333631.88,200541144.03,177463829.21,287032790.33,153249634.46
c_1,4064.2,4915.57,4457.76,27295.94,21612.19,31914.67,3941555.43,11295579.02,10419009.55,23602810.45,28160681.71,44373218.38,152161761.62,168206453.77,293654035.23,234740158.37
b_1,4000.44,5042.24,4699.59,8472.4,40439.99,68422.84,4461081.22,11990840.92,14691146.79,24023737.5,26589620.16,47148001.92,155330780.1,132949063.97,259232733.93,271223095.73
a_1,4730.15,5654.72,5307.99,8565.79,11416.0,147740.99,4896773.11,13848296.44,16967287.09,25380843.21,49250696.79,49763972.93,191862710.93,121866441.3,312960651.88,213951291.49
h_1,6036.72,5541.31,5852.36,9296.51,12379.31,36142.9,9612010.67,16112495.93,21616342.94,23804521.43,47067571.65,55735876.39,133609744.36,221932339.6,401643931.87,261423877.95
g_1,4116.04,8400.08,4601.25,8806.82,13506.84,30522.34,4975450.28,31645649.05,23433227.1,23025683.89,55077956.41,79738472.62,210732091.66,210346010.63,255047590.07,337694279.82
c_0,4911.29,6693.75,5016.41,8071.79,10056.21,35807.9,5071427.04,15637371.27,34815835.29,27000905.97,104494400.85,60084396.0,210224970.03,296667238.88,333944394.35,289209698.46
d_0,4438.28,2940.75,5051.17,18749.78,14096.15,36777.2,4573253.39,15673239.27,14767432.84,46902998.72,51871465.03,56392797.77,192154608.74,210071794.11,338342224.03,293430716.22
b_0,4512.18,6832.14,5403.06,10590.16,7276.84,26205.13,5625518.64,14477131.53,22439227.23,33704535.67,96287087.49,61942882.17,221756815.78,505409023.42,365111335.4,277362908.86
f_0,4001.33,6184.1,5186.83,10369.9,11913.19,40704.64,5431389.01,14607419.49,20235985.4,30846567.79,50562229.28,103410498.29,207592999.24,241039824.55,366355178.85,626609538.46
h_0,5417.55,6392.43,5262.84,10015.75,13217.92,35561.3,3650962.29,17430906.98,21178146.67,30569261.28,56099810.89,50542100.5,141814984.95,257474358.04,441199207.77,281508439.1
a_0,4520.17,5495.36,5583.31,10797.49,12084.84,24309.93,5553202.21,15051891.86,20788072.99,31505009.37,54399290.8,65080009.27,243875904.03,503844700.64,372819276.64,336749704.46
g_0,4539.84,7892.38,5028.97,8936.5,13810.24,34871.94,4737625.08,11688648.62,25241170.22,29117488.29,50692965.49,82914434.89,181710189.5,255210847.2,280712504.55,335243668.21
e_0,4473.25,6650.67,4457.87,10068.21,15138.64,38324.3,5706671.26,13258172.54,20138237.67,27779984.86,54450659.34,52520304.93,197978539.89,231070472.03,349469903.07,633765650.39
