,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.47,1.14,1.04,1.08,1.92,0.79,2.3,2.14,2.03,1.11,2.7,1.96,3.13,2.47,2.18,2.8
f_1,1.19,2.48,1.24,1.74,0.94,0.84,1.97,2.26,2.14,2.26,1.35,2.54,2.66,1.42,2.56,2.71
d_1,1.0,1.19,2.52,1.02,1.12,1.06,2.36,2.02,1.73,4.03,2.64,3.14,3.1,2.89,2.6,2.84
e_1,1.29,1.02,1.02,2.55,1.18,1.18,1.97,2.19,4.13,2.36,2.65,2.6,3.4,1.96,2.64,3.55
b_1,0.92,1.25,1.06,1.13,2.64,2.17,2.51,1.94,2.56,2.35,2.5,1.39,2.97,2.38,2.34,2.73
a_1,1.54,1.3,1.1,0.99,0.85,3.28,2.03,2.54,2.6,2.52,2.47,2.56,3.08,3.26,1.67,3.49
h_1,1.2,1.62,1.25,1.21,1.05,1.33,3.95,2.77,2.57,2.9,2.52,2.85,2.6,2.43,2.95,4.12
g_1,1.11,1.14,1.79,1.13,1.22,0.96,2.39,4.32,2.5,2.7,4.14,2.59,2.92,3.08,2.81,2.65
d_0,2.17,1.24,0.88,1.06,1.26,1.17,2.2,2.25,3.92,2.06,3.18,2.59,3.17,2.8,2.78,3.29
c_0,1.12,1.37,1.24,1.16,0.99,1.25,2.5,2.47,2.8,4.08,3.04,5.15,3.65,3.37,3.3,4.06
f_0,1.38,1.0,1.47,1.11,1.24,1.32,2.45,2.01,2.34,2.77,4.26,3.15,3.37,4.76,3.48,3.25
b_0,1.37,1.53,1.23,1.25,0.88,0.98,2.4,2.61,2.82,2.32,2.45,4.28,4.02,3.17,4.9,3.64
h_0,1.18,1.6,1.33,1.19,1.15,1.16,1.82,3.44,2.85,2.69,2.71,2.57,2.65,2.72,2.89,4.32
e_0,1.37,1.79,1.36,0.69,1.4,1.13,2.84,2.39,2.3,2.17,2.28,2.78,3.88,5.06,3.03,3.31
a_0,1.42,1.3,1.51,1.14,1.13,0.91,2.56,2.33,2.61,2.32,1.99,1.93,3.55,2.45,4.87,3.62
g_0,1.37,1.15,1.77,1.09,1.27,1.02,2.09,1.87,2.68,2.73,3.49,2.69,3.3,2.72,2.7,2.79
