,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.92,1.39,1.0,1.03,0.77,1.04,0.97,1.12,1.0,1.16,,0.64,0.97,0.81,1.1
d_1,1.09,1.0,0.83,0.93,0.89,0.92,1.35,,0.88,1.51,0.89,0.87,1.09,1.02,0.96,0.86
e_1,0.72,1.21,1.0,0.85,1.05,1.1,0.84,1.46,1.02,0.97,0.98,0.93,1.12,0.87,,1.22
c_1,1.0,1.08,1.17,1.0,1.51,1.25,0.84,0.62,1.32,,0.87,1.1,1.08,1.0,0.84,1.0
b_1,0.97,1.12,0.95,0.66,1.0,1.24,1.31,0.97,0.79,1.0,,0.89,1.15,0.96,,1.02
a_1,1.3,1.09,0.91,0.8,0.8,1.0,1.11,1.08,1.06,1.03,1.04,0.9,1.05,,,0.81
h_1,0.96,0.74,1.2,1.19,0.76,0.9,1.0,0.95,1.09,1.12,0.94,1.02,,0.97,1.05,1.22
d_0,1.03,,0.69,1.62,1.03,0.92,1.05,1.0,0.8,0.91,0.99,0.84,0.99,1.1,0.95,1.22
g_1,0.89,1.14,0.98,0.76,1.26,0.94,0.92,1.24,1.0,0.95,1.05,1.12,0.79,1.09,1.15,
c_0,1.0,0.66,1.04,,1.0,0.97,0.89,1.1,1.05,1.0,1.57,1.07,1.15,0.88,0.81,0.98
b_0,0.86,1.13,1.02,1.15,,0.96,1.07,1.01,0.95,0.64,1.0,0.96,1.06,1.46,1.41,0.85
f_0,,1.15,1.08,0.91,1.12,1.11,0.98,1.19,0.89,0.93,1.04,1.0,0.96,1.17,1.06,0.72
h_0,1.55,0.92,0.89,0.92,0.87,0.95,,1.01,1.27,0.87,0.94,1.05,,0.66,0.94,1.22
a_0,1.03,0.98,1.15,1.0,1.04,,1.03,0.91,0.92,1.14,0.68,0.86,1.51,1.0,,1.0
e_0,1.24,1.04,,1.2,,,0.95,1.05,0.87,1.24,0.71,0.94,1.06,,1.0,1.0
g_0,0.91,1.16,0.82,1.0,0.98,1.24,0.82,0.82,,1.02,1.18,1.4,0.82,1.0,1.0,
