,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10721.84,3049.09,4259.14,7027.52,8396.87,31459.75,4129550.83,6913133.34,10733110.0,23354365.83,18140469.23,24751781.73,84838882.36,76943079.3,57310553.78,288319746.28
f_1,4886.55,11990.92,3784.62,5847.2,7867.63,27529.2,4113457.82,5191958.5,10625560.6,12979772.42,17706629.96,9656698.23,72872969.05,58940595.45,83341834.59,198503840.7
d_1,2469.59,3296.23,19494.89,4848.2,6305.18,37183.43,4780551.31,7332992.02,24331442.63,6886551.52,22515263.66,25732086.23,85532512.74,90217569.37,134465973.54,308483173.43
c_1,2274.08,3150.94,4086.39,27133.55,15020.44,28375.24,4197967.98,6555001.53,4130223.23,14773325.95,14717980.26,21761472.66,76832886.45,49198904.76,150983566.44,212451444.55
b_1,2660.14,3274.16,4006.81,5482.05,39190.21,57097.41,4008244.53,5531770.57,12224516.22,14826654.51,9445810.55,21203489.82,73713635.77,53993634.24,140222113.9,208903400.25
a_1,2972.13,2763.95,5162.19,6227.55,6551.29,220233.2,5951535.51,5792257.58,12084593.11,13793760.56,22307294.35,24098146.44,86743306.0,42648763.58,139862144.17,206961138.6
h_1,3623.62,4875.31,6302.06,6464.21,7105.76,36352.74,13884427.57,9770070.71,15614837.94,13767143.8,21168697.45,31173414.11,58966287.14,88118971.73,136887687.97,436140824.25
g_1,3059.79,2714.77,8973.98,6478.82,9077.45,36839.56,5227073.79,21993549.73,14619719.99,14349358.1,25304317.2,50255294.01,93157788.26,74807849.35,167576246.74,195131994.64
c_0,3183.07,4134.09,6729.77,4200.62,7318.47,35202.09,5674347.65,7577834.64,28336589.04,14496542.98,43739337.89,30490117.86,98885811.8,107239163.91,173210439.36,348011512.52
d_0,3271.76,4435.83,2854.22,13797.77,10052.64,35404.82,5609559.98,7670065.99,8976584.99,30239192.01,19999734.59,28184685.59,102246150.83,67959659.17,152140483.86,235205541.52
b_0,3532.02,3668.3,6781.05,7490.22,6310.99,26189.56,5929044.86,8327500.21,16174223.66,16653468.06,49708903.48,32655774.31,102470867.65,192560260.76,133550673.98,359108460.72
f_0,2710.99,2952.03,6274.25,8715.62,9193.79,35461.77,5840908.39,8400024.14,16211343.99,17850344.3,26175990.31,62066551.96,110977668.86,92536458.53,326392119.89,312639464.66
h_0,3322.71,5426.18,6238.24,6737.23,7988.42,26831.0,3398482.5,10878589.14,13843322.96,16036672.95,25123633.53,23978016.1,75782704.82,116642594.78,170843332.94,386201691.63
a_0,3733.61,3852.46,6240.87,6752.86,7584.9,26824.65,6960126.13,8911783.71,18607237.2,19541743.56,24773884.57,29634083.31,109723810.4,223596547.12,172238619.56,400274627.82
e_0,1911.22,5150.16,6386.79,9489.31,9725.95,38000.3,7065875.74,8660031.73,14236187.99,16520947.1,22657918.83,25589270.94,112999866.03,63905909.69,416005781.54,319066403.25
g_0,2768.61,2894.18,10377.18,6989.63,8275.22,34766.85,4910358.96,6973534.96,16355889.37,13257984.3,28617049.43,42289757.5,104748124.24,100289101.31,150657233.08,218937723.09
