,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.76,0.56,1.05,0.67,0.56,0.54,0.83,0.65,0.96,0.98,0.84,0.4,0.98,0.85,0.78,0.69
d_1,0.64,2.92,0.56,0.47,0.62,0.59,0.99,0.97,1.69,0.37,1.19,1.21,0.97,1.07,1.17,1.1
e_1,0.7,0.59,2.9,0.7,0.54,0.54,0.85,0.95,0.91,1.68,0.94,1.06,1.12,0.89,0.92,0.41
c_1,0.57,0.59,0.56,3.28,1.15,0.58,0.81,0.72,0.34,0.85,0.63,0.89,0.79,0.77,0.95,1.0
b_1,0.57,0.62,0.52,0.69,3.51,1.11,0.89,0.83,0.65,0.83,0.34,0.8,0.83,0.73,0.86,1.07
a_1,0.73,0.73,0.7,0.5,0.53,4.46,0.93,0.97,0.82,0.85,1.17,0.76,1.02,0.52,0.91,0.69
h_1,1.07,0.77,0.65,0.72,0.69,0.7,2.95,1.28,1.12,0.93,1.15,1.14,0.61,1.11,1.45,1.08
g_1,0.73,1.17,0.59,0.64,0.67,0.6,1.12,3.5,1.07,0.8,1.2,1.69,1.32,1.38,0.69,1.21
c_0,0.86,0.92,0.66,0.46,0.53,0.75,1.18,1.24,2.38,1.06,2.4,1.31,1.32,1.34,1.12,1.43
d_0,0.8,0.33,0.71,1.52,0.75,0.71,1.02,1.49,0.82,2.35,1.32,1.26,1.2,1.05,1.26,1.28
b_0,0.75,1.02,0.65,0.88,0.3,0.5,1.14,1.23,1.14,1.24,2.81,1.22,1.44,2.8,1.21,1.39
f_0,0.47,0.85,0.68,0.82,0.71,0.77,1.3,1.36,1.11,1.22,1.27,2.97,1.24,1.32,1.42,2.94
h_0,0.92,0.79,0.74,0.81,0.67,0.77,0.71,1.39,1.2,1.22,1.28,1.16,0.61,1.28,1.62,1.25
a_0,0.84,0.8,0.73,0.85,0.6,0.25,1.1,1.21,1.19,1.26,1.14,1.4,1.56,3.83,1.44,1.49
g_0,0.72,1.14,0.61,0.86,0.71,0.69,1.21,0.74,1.38,1.22,1.11,1.83,1.18,1.28,0.73,1.33
e_0,0.7,0.91,0.48,0.85,0.71,0.86,1.23,1.24,1.15,0.99,1.25,1.25,1.3,1.38,1.34,3.96
