,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.89,1.7,1.24,1.71,1.37,1.31,5.19,6.06,13.49,7.77,7.67,7.8,6.97,12.29,11.03,6.0
f_1,2.48,5.96,1.63,1.57,1.21,1.6,6.12,4.63,6.63,5.8,7.49,3.08,7.28,8.82,11.55,4.8
d_1,1.44,1.7,6.37,1.24,1.53,1.62,5.76,6.04,3.15,13.7,8.86,7.79,8.04,11.19,10.31,7.15
c_1,1.49,1.66,1.45,6.58,2.85,1.11,5.13,4.78,6.83,2.87,4.66,7.16,6.64,11.31,10.13,8.0
b_1,1.48,1.58,1.58,1.49,7.88,2.91,4.87,4.77,5.7,5.51,2.96,7.23,6.33,10.42,9.12,7.4
a_1,1.27,1.47,1.61,1.92,1.4,11.62,6.36,5.85,7.17,7.53,7.52,7.11,3.3,12.65,10.66,11.3
h_1,1.93,2.53,1.75,1.88,1.96,1.22,16.09,8.7,8.29,8.82,9.22,9.02,8.52,9.83,16.87,10.64
g_1,1.62,1.28,2.86,2.07,1.66,1.96,6.35,18.08,6.69,9.16,7.9,15.44,8.4,10.88,9.31,11.14
d_0,1.7,1.9,1.34,3.36,1.63,1.76,5.9,7.03,16.09,5.74,8.24,9.95,7.12,12.57,12.47,11.18
c_0,1.72,2.16,2.21,1.32,1.29,1.92,6.21,7.14,8.2,16.56,16.67,10.7,10.96,14.81,13.2,9.33
b_0,1.68,2.19,2.02,2.14,1.05,2.08,6.59,7.9,8.24,8.24,18.73,10.75,18.26,14.6,15.71,9.94
f_0,1.31,1.22,2.4,2.16,1.75,1.97,8.57,8.79,9.37,9.19,9.61,19.89,11.0,14.9,13.06,22.03
a_0,1.78,2.02,2.59,1.94,1.83,1.0,7.45,7.44,8.1,7.61,10.59,9.62,22.52,11.77,15.82,11.62
h_0,1.65,2.75,2.14,1.88,1.83,1.84,4.28,8.27,6.78,7.7,7.85,7.85,10.0,7.17,17.98,8.57
g_0,1.58,1.71,2.82,1.58,2.06,1.66,6.17,6.24,8.96,9.38,8.1,14.72,9.78,15.01,9.57,11.69
e_0,0.93,2.35,2.18,2.29,2.21,1.85,7.46,7.04,8.9,8.77,7.88,10.17,8.8,12.93,14.07,26.67
