,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.62,1.45,1.75,1.76,1.44,0.35,0.47,0.32,0.34,0.34,0.6,0.2,0.34,0.27,0.39
d_1,1.91,0.42,1.86,1.81,1.68,1.45,0.48,0.32,0.33,0.93,0.29,0.33,0.23,0.39,0.18,0.3
e_1,1.03,1.84,0.43,1.94,2.0,1.57,0.55,0.62,0.42,0.39,0.38,0.41,0.25,0.34,0.31,0.62
c_1,1.67,2.35,1.57,0.4,1.76,2.08,0.54,0.56,0.65,0.2,0.32,0.38,0.26,0.34,0.24,0.37
b_1,2.14,1.89,2.12,1.02,0.39,2.14,0.58,0.57,0.51,0.41,1.05,0.41,0.33,0.47,0.31,0.4
a_1,2.42,2.21,2.46,2.29,1.12,0.34,0.67,0.72,0.47,0.48,0.71,0.45,0.31,1.19,0.35,0.38
h_1,2.81,2.37,2.8,2.87,2.68,2.51,0.33,0.76,0.57,0.63,0.58,0.54,0.59,0.51,0.37,0.51
g_1,4.14,2.99,3.03,3.46,3.1,2.81,0.7,0.3,0.56,0.56,0.55,0.55,0.37,0.59,0.58,0.62
c_0,3.22,1.73,3.24,6.45,3.87,3.57,0.93,0.89,0.37,0.91,0.67,0.73,0.44,0.68,0.4,0.65
d_0,3.18,5.27,1.79,3.78,3.81,3.54,1.15,1.18,0.73,0.38,0.64,0.69,0.48,0.63,0.5,0.78
b_0,4.08,2.6,3.38,5.33,7.32,3.35,0.95,0.83,0.35,0.67,0.34,0.65,0.49,0.73,0.52,0.65
f_0,5.7,3.14,3.28,4.03,3.59,3.78,1.03,0.64,0.67,0.71,0.63,0.33,0.53,0.53,0.33,0.59
h_0,3.71,3.97,3.36,4.52,4.27,3.29,1.84,0.95,0.78,0.81,0.71,0.78,0.92,0.6,0.61,0.67
a_0,4.59,3.71,4.22,4.52,5.55,6.12,1.13,1.05,0.73,0.89,0.38,0.79,0.56,0.31,0.5,0.81
g_0,5.0,3.28,4.26,4.32,4.88,4.04,0.98,1.79,0.85,0.88,0.77,0.83,0.43,0.77,0.86,0.76
e_0,5.91,4.11,7.63,4.16,3.75,4.53,1.28,1.01,0.74,0.78,0.88,0.42,0.61,0.68,0.51,0.3
