,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.44,1.32,2.23,1.47,1.41,1.12,2.72,3.38,2.88,2.86,3.32,2.35,3.57,3.09,2.22,3.51
d_1,1.69,2.52,1.48,1.2,1.42,1.46,2.96,2.56,2.8,5.19,3.45,3.21,4.11,3.73,3.67,3.76
e_1,1.37,1.4,2.51,1.91,1.37,1.42,2.74,5.06,2.85,3.04,3.61,4.0,4.12,3.33,3.37,4.26
c_1,1.46,1.62,1.24,2.62,2.31,1.65,2.48,2.58,2.58,2.12,2.69,2.97,3.96,3.2,2.99,4.15
b_1,1.38,1.62,1.44,1.2,2.76,2.46,3.06,2.95,2.8,3.2,2.31,3.31,4.09,2.5,3.23,4.41
a_1,1.78,1.58,1.49,1.33,1.42,3.21,3.05,3.27,3.18,3.14,3.24,3.34,4.31,2.86,3.66,3.5
h_1,1.87,1.52,1.57,1.81,1.34,1.45,4.24,3.16,3.78,2.88,3.38,3.35,3.42,3.11,3.36,5.39
d_0,1.5,1.4,1.19,2.63,1.65,1.57,2.99,4.13,2.76,2.26,3.63,3.66,4.21,3.45,3.67,4.07
g_1,1.41,2.09,1.36,1.76,1.39,1.45,2.89,2.93,4.61,3.22,3.47,4.46,3.85,4.02,3.74,4.09
c_0,1.62,1.3,1.72,1.66,1.23,1.63,3.29,4.23,2.96,4.41,6.1,3.87,4.52,4.22,4.05,4.76
b_0,1.58,1.64,1.48,1.91,1.29,1.32,3.26,3.23,3.09,2.85,4.57,3.43,4.83,6.23,4.37,4.56
f_0,1.47,1.56,1.22,1.75,1.7,1.69,3.03,3.27,3.02,3.49,3.48,4.74,4.33,3.68,6.49,3.83
h_0,2.01,1.55,1.6,1.61,1.41,1.27,2.61,3.26,3.92,3.1,3.26,3.15,3.74,3.3,3.56,5.33
a_0,1.52,1.65,1.46,1.68,1.62,1.34,3.59,3.59,2.69,3.56,3.0,3.82,4.87,5.2,3.5,4.67
e_0,1.99,1.45,1.06,1.87,1.68,1.57,3.32,3.3,3.13,3.2,3.4,2.77,5.16,4.38,5.51,3.94
g_0,1.53,1.96,1.27,1.55,1.44,1.71,2.72,3.19,2.41,3.24,3.34,4.73,3.56,3.59,4.42,3.53
