,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,2.12,1.96,1.72,1.73,1.59,0.58,0.6,0.78,0.59,0.52,0.75,0.33,0.51,0.56,0.49
e_1,1.41,1.06,2.18,2.08,2.15,2.06,0.85,0.83,0.82,0.68,0.59,0.73,0.47,0.56,1.01,0.49
c_1,2.49,1.91,1.06,2.45,2.48,1.78,0.8,0.4,0.7,0.69,0.57,0.52,0.54,0.53,0.46,0.43
d_1,2.76,2.46,2.24,1.06,1.92,1.87,0.81,0.92,0.6,0.71,0.72,0.57,0.53,0.64,0.43,0.36
b_1,2.79,2.73,1.55,2.74,1.06,2.57,1.13,0.83,0.79,0.82,1.1,0.68,0.63,0.62,0.58,0.57
a_1,4.08,3.0,3.57,3.08,1.9,1.06,1.52,1.07,1.36,1.16,1.22,1.22,0.76,1.43,0.88,0.71
h_1,5.83,5.15,5.76,5.63,4.68,4.04,1.32,1.77,2.18,1.45,1.59,1.37,1.33,1.37,1.55,1.26
d_0,6.71,3.94,8.6,7.77,7.23,5.66,2.49,1.54,3.22,1.78,1.85,1.81,1.74,1.83,1.86,1.47
g_1,7.54,6.68,7.57,6.57,7.11,5.18,2.16,1.81,1.35,1.88,1.94,1.97,1.24,1.84,1.48,1.71
c_0,6.99,6.67,10.67,4.38,7.17,5.85,2.56,2.5,2.71,1.48,2.71,2.18,2.05,1.92,1.76,1.6
b_0,8.08,7.33,8.46,5.94,10.34,6.11,2.56,2.17,2.4,1.17,1.49,2.01,1.61,2.86,1.87,1.67
f_0,11.45,7.26,9.31,8.77,7.7,5.52,3.59,2.51,1.84,2.44,2.29,1.49,2.03,2.62,2.79,1.13
h_0,11.63,9.26,8.41,8.11,8.29,7.45,4.32,2.49,3.31,2.27,2.53,2.06,2.8,2.16,2.1,2.27
a_0,9.67,9.78,9.54,9.02,10.29,9.98,3.9,2.77,2.8,2.4,1.43,2.03,2.15,1.56,2.38,2.19
e_0,12.18,11.29,13.95,11.36,11.83,7.0,3.59,2.82,3.59,2.89,2.88,1.33,2.26,2.68,1.64,1.78
g_0,9.67,11.0,11.11,11.51,9.55,9.12,3.36,3.38,4.66,3.38,3.03,3.81,1.97,2.61,2.94,2.76
