,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.67,4.8,7.76,5.85,4.83,6.56,1.92,2.79,2.05,3.4,,1.89,1.03,1.69,2.32,
d_1,6.76,0.66,7.6,5.25,5.41,,3.01,2.12,,2.53,2.22,1.73,1.75,1.01,2.09,1.45
e_1,3.26,5.43,0.66,5.89,6.44,5.67,2.83,2.26,2.19,2.61,2.38,2.61,1.89,1.75,1.66,
c_1,5.39,7.38,6.07,0.65,6.28,,2.29,2.47,1.49,,2.17,2.05,2.06,1.55,1.78,2.58
b_1,7.39,6.46,5.92,3.85,0.63,6.58,3.02,3.02,2.32,2.18,1.87,,1.64,2.11,,2.73
a_1,5.93,,7.25,,4.88,0.57,3.6,3.12,2.3,2.3,2.48,2.61,2.11,,,
h_1,5.26,5.0,4.55,5.44,4.84,4.36,0.61,3.0,1.58,1.46,1.7,1.78,,1.53,1.44,1.63
g_1,5.61,5.34,6.6,6.34,5.9,5.57,1.76,0.58,1.86,1.89,2.53,2.4,1.09,,1.59,1.84
d_0,5.15,,3.54,4.8,4.74,4.96,2.23,2.03,0.69,1.68,1.89,1.37,1.61,1.26,1.95,1.62
c_0,4.67,3.15,4.29,,5.01,4.11,2.72,1.84,2.02,0.7,1.67,2.64,1.68,1.2,2.2,1.67
f_0,,4.84,4.79,5.17,5.32,4.78,2.48,1.46,2.78,1.61,0.68,2.05,1.24,1.14,1.56,2.57
b_0,5.02,4.94,4.72,5.68,,4.96,2.45,2.03,2.18,1.18,1.62,0.68,2.02,1.38,2.42,1.65
h_0,5.7,3.77,3.75,4.12,4.59,4.26,,2.25,1.74,1.4,1.96,1.34,,2.04,1.33,1.33
g_0,5.4,6.2,4.8,5.26,4.55,,1.55,,1.99,1.95,1.75,1.87,1.0,,1.57,1.41
a_0,5.18,6.21,9.05,6.25,,,2.86,3.14,2.09,1.76,2.21,1.37,2.17,1.98,0.6,
e_0,,8.53,,4.82,5.02,,2.24,2.45,2.37,2.2,1.17,1.83,2.06,1.85,,0.61
