,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.02,1.23,0.85,0.92,0.77,0.66,0.56,0.65,0.85,0.76,,0.5,0.44,0.48,0.67
c_1,0.98,1.0,1.02,1.33,1.42,0.99,0.53,0.53,,0.75,0.59,0.54,0.56,0.56,0.55,0.61
e_1,0.82,0.98,1.0,1.1,0.89,0.83,0.75,0.84,0.72,0.69,0.72,0.53,0.46,0.6,,0.55
b_1,1.17,0.75,0.91,1.0,1.1,1.22,0.9,0.61,0.7,0.82,,0.62,0.64,0.56,0.59,0.48
d_1,1.08,0.7,1.13,0.91,1.0,0.76,0.64,,1.1,0.44,0.67,0.68,0.83,0.67,0.63,0.47
a_1,1.3,1.01,1.2,0.82,1.32,1.0,0.88,0.73,0.65,0.65,0.68,0.72,,0.75,0.74,0.67
h_1,1.5,1.88,1.34,1.11,1.56,1.13,1.0,0.95,0.96,1.1,1.02,0.73,0.9,,,0.85
d_0,1.8,1.9,1.2,1.65,,1.38,1.06,1.0,1.03,0.89,0.65,0.9,0.67,0.83,0.92,0.8
c_0,1.53,,1.4,1.43,0.91,1.53,1.04,0.97,1.0,1.02,1.17,1.17,0.92,1.02,0.9,0.86
g_1,1.18,1.34,1.45,1.22,2.25,1.55,0.91,1.12,0.98,1.0,0.97,1.14,0.88,0.98,,
b_0,1.31,1.68,1.38,,1.5,1.46,0.98,1.54,0.86,1.03,1.0,0.85,1.71,0.84,0.9,1.19
f_0,,1.85,1.87,1.62,1.47,1.4,1.37,1.11,0.86,0.88,1.18,1.0,,0.99,1.24,0.74
a_0,2.01,1.77,2.19,1.56,1.2,,1.11,1.5,1.08,1.13,0.59,,1.0,1.36,,0.9
h_0,2.28,1.79,1.66,1.78,1.5,1.34,,1.21,0.98,1.02,1.2,1.01,0.73,,0.88,1.07
e_0,2.08,1.83,,1.7,1.58,1.35,,1.09,1.12,,1.11,0.81,,1.14,1.0,0.95
g_0,1.49,1.63,1.82,2.07,2.15,1.5,1.17,1.24,1.16,,0.84,1.36,1.11,0.93,1.06,
