,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.56,0.92,0.74,0.94,0.87,0.48,0.41,0.35,0.34,0.47,0.48,0.35,0.36,0.54,0.44
f_1,0.85,0.42,0.84,0.79,0.78,0.68,0.32,0.4,0.32,0.33,0.42,0.42,0.25,0.38,0.3,0.34
c_1,0.64,0.82,0.4,1.13,0.91,0.75,0.42,0.22,0.49,0.34,0.42,0.33,0.28,0.32,0.4,0.29
d_1,0.94,0.83,0.7,0.38,0.77,0.8,0.44,0.59,0.4,0.43,0.34,0.35,0.3,0.37,0.32,0.22
b_1,0.78,0.85,0.52,0.88,0.36,1.06,0.47,0.43,0.4,0.66,0.45,0.46,0.38,0.42,0.35,0.28
a_1,0.87,1.05,0.83,0.78,0.45,0.3,0.46,0.45,0.46,0.51,0.47,0.36,0.35,0.58,0.4,0.37
h_1,0.68,0.9,0.69,0.67,0.75,0.66,0.24,0.31,0.32,0.3,0.35,0.33,0.33,0.31,0.33,0.28
d_0,0.47,0.72,0.87,1.03,0.71,0.71,0.46,0.26,0.31,0.34,0.5,0.31,0.31,0.31,0.39,0.33
c_0,0.83,0.8,1.24,0.45,0.74,0.59,0.38,0.41,0.24,0.34,0.36,0.33,0.27,0.31,0.34,0.24
b_0,0.67,0.84,1.04,0.58,0.85,0.6,0.36,0.33,0.22,0.22,0.35,0.3,0.27,0.38,0.34,0.29
g_1,0.74,0.82,0.78,0.69,0.79,0.75,0.34,0.31,0.29,0.31,0.2,0.31,0.19,0.26,0.27,0.34
f_0,0.65,1.07,0.89,0.69,0.68,0.64,0.37,0.33,0.3,0.32,0.29,0.2,0.27,0.3,0.39,0.18
h_0,0.66,0.84,0.74,0.66,0.68,0.54,0.53,0.32,0.3,0.34,0.45,0.29,0.31,0.33,0.29,0.28
a_0,0.7,0.66,0.93,0.67,0.83,0.86,0.46,0.37,0.27,0.18,0.37,0.35,0.29,0.2,0.3,0.29
e_0,0.9,0.88,0.68,0.69,0.71,0.6,0.35,0.32,0.31,0.34,0.39,0.17,0.29,0.35,0.19,0.24
g_0,0.64,0.72,0.77,0.76,0.75,0.64,0.33,0.29,0.32,0.28,0.44,0.33,0.22,0.3,0.31,0.3
