,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,10758.5,4185.98,4885.89,10198.82,15169.73,35044.26,5375524.29,14143421.01,34238343.0,16829649.23,36737270.01,37284095.3,147736869.29,116029509.92,371809470.29,258318315.25
f_1,6577.44,11249.97,5253.16,7364.22,12391.86,36128.04,4896308.05,12584161.91,20452240.09,18738470.43,21066110.26,34508498.78,131062124.16,124312651.01,253944512.15,230504056.94
d_1,3806.79,4508.43,16974.67,6572.38,13388.03,39316.64,5655916.99,12974638.66,12054006.83,36059867.88,35214262.28,43907460.66,167910537.93,186248988.26,326375175.94,249171662.23
c_1,3513.19,4413.55,5256.83,23421.01,29412.81,41109.68,5451696.82,12384573.99,18587150.04,9850534.28,31570212.83,24189601.38,147980812.96,150244680.66,289417572.72,237839755.57
b_1,3678.32,3780.65,5821.75,7145.44,54997.42,81326.16,5827067.94,12915640.22,17455242.44,18078643.95,32138024.61,19049494.29,131989699.37,208638817.14,296680671.72,201955659.94
a_1,3921.01,4521.08,7017.7,7406.19,14786.17,182756.6,5822179.02,15319701.96,18057763.76,19711405.13,32684397.81,33183414.1,168299842.11,157643513.51,314684044.79,137573850.4
h_1,4300.9,6196.33,6399.63,8440.15,13803.52,42980.45,11979255.28,21931495.8,20555077.96,21537790.85,31862573.74,37079404.78,115792644.43,210536692.76,398363881.86,237207408.34
g_1,4344.84,4192.72,9199.06,7980.0,12038.13,45551.91,5941921.0,36205854.25,19416670.78,22704149.43,51762849.78,39745877.95,121050693.65,204154831.21,277857614.89,272963133.12
d_0,4446.86,4957.06,3896.11,16121.93,19604.06,41081.1,5276461.35,14275529.89,33574007.93,12880594.24,38408126.78,34562451.03,160946208.8,174595759.47,353345086.01,252929773.29
c_0,4629.86,4747.34,7935.47,6040.72,12371.49,48087.18,5602534.8,16301734.13,22382671.95,35580002.12,41694383.61,79448751.07,151615993.8,208341158.35,324584439.47,354101682.6
f_0,3762.88,3615.43,6414.31,10465.22,19568.27,42199.9,6366220.82,14413922.97,23880441.36,22433141.88,67338665.74,45122958.91,164317275.06,397224627.4,403645528.83,267922095.69
b_0,4340.89,4699.9,7694.96,9163.89,13389.54,34437.91,5997545.56,17349106.09,23325513.77,22711684.46,41794690.87,76463290.18,183530392.01,228608870.12,320093574.4,668419062.6
h_0,4283.25,5684.7,7388.66,8588.18,15748.12,44153.2,3977334.67,18673525.34,22665506.48,20147116.87,34600855.02,39481412.99,119391799.4,172798786.69,496149423.36,284519626.12
e_0,2725.91,5712.24,6643.48,9615.73,17236.33,47976.05,6924429.17,17928357.85,16799101.52,20909519.97,37895718.89,42548471.91,169778326.39,429650147.76,344261087.16,249097504.0
g_0,3810.34,4073.35,9647.72,8691.85,17230.49,44974.45,6386878.11,10672334.32,18924750.88,22556773.78,57641082.22,39822525.24,154853846.96,262990967.48,323600191.32,287260074.25
a_0,4032.74,5225.39,8063.85,9038.12,17623.21,27717.65,6532447.99,15008920.32,22484340.28,16423344.2,39176441.45,38652091.7,161262975.36,192908479.96,353801604.21,651485779.68
