,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.04,1.82,1.72,1.41,1.5,1.33,0.63,0.57,0.43,0.63,0.53,0.44,0.37,0.41,0.26,0.43
f_1,1.65,1.05,1.9,1.78,1.58,1.35,0.53,0.49,0.65,0.54,0.45,0.53,0.32,0.42,0.41,0.36
e_1,1.97,1.22,1.05,1.92,1.85,1.5,0.67,0.58,0.7,0.63,0.55,0.65,0.43,0.48,0.46,0.57
c_1,2.33,2.19,1.64,1.06,2.54,1.45,0.64,0.69,0.69,0.39,0.5,0.5,0.43,0.49,0.44,0.49
b_1,2.25,2.48,1.98,1.26,1.06,2.29,1.0,0.74,0.82,0.6,0.85,0.64,0.52,0.62,0.52,0.56
a_1,3.0,2.95,2.84,2.95,1.45,1.07,1.18,0.85,1.13,0.85,0.96,0.84,0.74,0.95,0.73,0.65
h_1,4.36,4.99,4.59,5.68,4.15,3.72,1.28,1.37,1.77,1.5,1.27,1.33,1.2,1.05,1.11,1.1
c_0,3.84,6.43,6.3,6.69,4.76,4.93,2.19,1.39,2.0,2.06,2.11,1.6,1.43,1.6,1.24,1.42
g_1,5.73,6.12,5.55,5.78,5.08,4.23,1.61,1.55,1.3,1.66,1.51,1.46,1.1,1.42,1.14,1.31
d_0,6.83,5.56,3.74,6.25,6.07,5.32,2.27,1.68,2.41,1.43,1.88,1.61,1.4,1.72,1.53,1.42
b_0,5.39,6.71,6.24,8.0,6.18,4.68,2.52,1.23,2.33,1.94,1.41,1.95,1.49,1.99,1.44,1.61
f_0,6.69,8.37,5.77,7.17,5.83,5.48,2.56,2.04,1.98,2.11,1.85,1.41,1.65,1.98,1.03,2.1
h_0,7.46,8.07,7.1,7.28,7.24,6.07,3.4,2.18,2.7,2.34,2.13,2.08,1.95,1.82,1.8,1.69
a_0,7.78,8.88,8.15,9.68,8.33,7.77,3.37,2.09,2.81,2.82,1.5,2.34,2.0,1.48,1.94,2.31
g_0,9.04,9.19,8.1,8.94,7.77,6.29,2.96,2.55,3.4,2.6,2.35,2.64,1.61,1.99,1.95,2.32
e_0,8.5,11.55,10.05,7.78,8.29,7.3,3.54,2.9,2.69,3.24,2.22,1.52,2.17,2.11,1.69,1.55
