,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.25,1.44,0.8,0.8,0.67,0.5,1.43,1.19,1.53,1.68,1.42,0.88,1.91,1.22,0.76,1.83
e_1,0.97,2.29,0.68,1.03,0.75,0.56,1.46,1.0,1.47,3.14,1.61,1.42,2.26,1.58,1.01,1.99
d_1,0.99,0.83,2.46,0.62,0.68,0.64,1.52,1.55,3.17,1.11,1.97,1.7,2.21,1.59,1.28,2.02
c_1,0.81,0.75,0.82,2.5,1.38,0.75,1.31,1.38,1.11,1.51,1.18,1.49,2.02,1.27,1.37,1.62
b_1,0.88,0.71,0.76,0.92,2.64,1.23,1.43,1.32,1.62,1.57,1.14,1.46,2.18,1.05,1.27,1.73
a_1,0.95,0.78,0.95,0.82,0.76,3.15,1.77,1.63,1.68,1.62,1.69,1.54,2.02,1.06,1.52,1.9
h_1,1.36,0.91,0.84,0.89,0.66,0.61,3.41,2.06,1.92,1.68,1.99,1.57,1.95,1.72,1.63,2.58
g_1,0.83,0.81,1.49,0.76,0.76,0.73,1.36,3.69,2.31,1.16,2.1,2.71,2.32,1.71,1.67,1.84
c_0,1.19,0.99,1.07,0.72,0.6,0.58,1.79,1.49,3.09,1.91,3.46,1.97,2.61,1.99,1.67,2.33
d_0,1.07,0.92,0.63,1.65,0.87,0.56,1.7,1.33,1.3,2.94,2.07,1.42,2.65,1.5,1.35,1.93
b_0,1.13,0.97,1.07,0.97,0.47,0.58,1.86,1.57,1.83,1.75,3.31,1.65,2.44,2.91,1.54,2.13
f_0,0.73,0.83,0.99,0.88,0.85,0.8,1.71,1.69,1.9,2.32,2.26,3.58,2.7,1.94,3.7,2.54
h_0,1.36,1.03,0.99,0.82,0.87,0.64,0.96,1.82,1.65,1.54,1.72,1.45,1.68,1.56,1.47,2.46
a_0,1.15,0.93,0.98,0.99,0.94,0.47,1.84,1.27,1.99,1.89,1.9,1.52,2.74,3.39,1.16,2.11
e_0,1.1,0.67,1.11,0.94,0.81,0.53,1.69,1.89,1.77,2.1,2.11,1.98,2.46,2.4,3.97,2.07
g_0,0.86,0.86,1.46,0.92,0.83,0.59,1.43,1.15,1.9,1.65,1.89,2.43,2.32,1.63,1.87,1.6
