,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.66,1.15,0.98,1.07,0.96,0.86,0.37,0.47,0.42,0.37,0.46,0.37,0.25,0.36,0.31,0.33
e_1,0.76,0.66,1.07,1.2,1.07,0.98,0.52,0.51,0.5,0.39,0.5,0.46,0.32,0.41,0.53,0.34
d_1,1.2,1.26,0.65,1.0,0.99,0.84,0.46,0.35,0.61,0.43,0.36,0.36,0.3,0.32,0.37,0.23
c_1,1.11,0.95,1.33,0.63,1.33,1.11,0.5,0.47,0.26,0.43,0.39,0.34,0.33,0.38,0.38,0.3
b_1,1.32,1.11,1.35,0.76,0.61,1.36,0.59,0.59,0.42,0.53,0.4,0.56,0.41,0.37,0.4,0.32
a_1,1.64,1.48,1.66,1.45,0.74,0.56,0.62,0.67,0.47,0.6,0.53,0.69,0.45,0.6,0.45,0.41
h_1,1.96,1.78,1.76,1.79,1.47,1.38,0.55,0.82,0.68,0.56,0.58,0.62,0.61,0.51,0.51,0.56
g_1,1.94,1.84,1.97,1.89,1.65,1.45,0.71,0.54,0.67,0.71,0.74,0.67,0.41,0.65,0.61,0.57
d_0,1.89,1.28,2.13,2.5,1.9,2.2,0.86,0.94,0.57,0.65,0.72,0.67,0.54,0.7,0.56,0.63
c_0,2.19,2.02,1.31,2.91,2.03,1.74,1.12,0.84,1.08,0.56,0.68,0.91,0.59,0.74,0.71,0.51
f_0,2.52,1.79,1.86,1.87,2.15,1.73,1.03,0.72,0.73,0.75,0.55,0.66,0.6,0.71,0.76,0.42
b_0,2.14,1.88,1.73,2.88,2.66,1.51,1.02,0.95,0.84,0.44,0.81,0.55,0.59,0.96,0.66,0.57
h_0,2.38,2.14,2.16,2.49,2.01,1.76,1.3,1.18,0.9,0.81,0.84,0.77,0.75,0.78,0.67,0.64
a_0,2.32,2.18,2.19,2.49,2.8,2.79,1.17,0.87,0.86,0.73,0.91,0.51,0.61,0.54,0.81,0.6
e_0,2.85,2.63,2.29,2.22,2.2,2.13,1.2,0.93,1.05,0.76,0.5,0.85,0.76,0.75,0.54,0.54
g_0,2.58,2.39,2.59,2.83,2.48,2.37,0.91,1.27,0.95,0.89,0.9,0.81,0.63,0.78,0.93,0.77
