,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.43,1.19,1.07,1.36,1.14,1.16,2.27,2.6,4.41,2.86,2.91,3.05,2.69,3.8,3.45,2.93
f_1,1.73,2.44,1.26,1.24,1.03,1.29,2.39,2.32,2.57,2.24,2.7,1.66,2.69,2.6,3.66,1.86
d_1,1.25,1.32,2.52,1.07,1.23,1.27,2.48,2.27,1.68,4.16,3.14,2.7,2.74,3.32,2.91,2.54
c_1,1.18,1.3,1.25,2.56,1.98,0.92,2.25,2.05,2.22,1.56,1.94,2.54,2.54,3.45,3.32,2.79
b_1,1.24,1.34,1.27,1.04,2.81,2.04,2.14,2.15,2.3,2.36,1.72,2.81,2.49,3.24,2.87,2.57
a_1,1.12,1.2,1.27,1.59,0.99,3.41,2.92,2.42,2.76,2.7,2.75,2.65,1.83,3.74,3.35,3.69
h_1,1.4,1.66,1.29,1.38,1.46,0.94,4.01,3.18,2.89,3.05,3.09,2.88,2.86,3.28,4.46,3.29
g_1,1.21,1.07,1.81,1.51,1.28,1.4,2.35,4.25,2.44,3.06,2.65,4.21,2.79,3.01,2.88,3.48
d_0,1.08,1.39,1.22,2.13,1.28,1.28,2.43,2.85,4.02,2.17,2.84,3.22,2.58,3.71,3.52,3.5
c_0,1.24,1.61,1.31,1.25,1.09,1.39,2.42,2.69,3.1,4.07,4.82,3.42,3.48,4.09,3.52,3.04
b_0,1.25,1.5,1.35,1.65,1.05,1.42,2.55,3.0,2.84,2.41,4.32,3.36,5.0,4.08,4.21,3.21
f_0,1.02,1.16,1.62,1.54,1.31,1.38,3.11,2.75,3.02,2.92,3.04,4.46,3.39,4.12,3.16,5.64
a_0,1.31,1.43,1.69,1.39,1.36,0.97,2.78,2.89,2.91,2.54,2.9,3.06,4.75,3.23,4.02,3.6
h_0,1.19,1.87,1.48,1.35,1.35,1.27,1.96,3.15,2.48,2.62,2.67,2.62,3.27,2.69,4.49,2.81
g_0,1.19,1.24,1.87,1.2,1.49,1.23,2.3,2.67,3.02,3.06,2.66,4.34,3.05,3.71,3.09,3.47
e_0,0.84,1.82,1.54,1.58,1.5,1.27,2.75,2.54,2.84,2.96,2.71,2.67,2.81,3.53,3.62,5.16
