,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.92,0.96,0.83,0.71,0.6,0.69,0.68,0.58,0.59,0.6,0.51,0.55,0.46,0.56
e_1,0.82,1.0,0.93,1.16,0.97,0.82,0.7,0.7,0.88,0.61,0.75,0.67,0.59,0.64,0.63,0.59
d_1,1.07,1.08,1.0,0.89,0.9,0.74,0.69,0.58,0.72,0.81,0.61,0.65,0.59,0.58,0.6,0.48
c_1,1.01,0.88,1.12,1.0,1.34,0.92,0.71,0.67,0.49,0.57,0.66,0.5,0.58,0.57,0.59,0.52
b_1,1.2,1.0,1.1,0.77,1.0,1.36,0.8,0.77,0.64,0.73,0.62,0.68,0.7,0.53,0.64,0.56
a_1,1.39,1.24,1.34,1.1,0.74,1.0,0.87,0.92,0.68,0.84,0.78,0.94,0.78,0.64,0.65,0.66
h_1,1.68,1.43,1.48,1.39,1.25,1.12,1.0,1.09,0.94,0.78,0.78,0.8,0.79,0.69,0.73,0.92
g_1,1.49,1.45,1.7,1.52,1.26,1.1,0.96,1.0,0.89,0.97,1.06,0.88,0.71,0.89,0.83,0.8
d_0,1.41,1.17,1.43,2.05,1.58,1.52,1.1,1.09,1.0,0.78,0.98,0.87,0.86,0.88,0.81,0.91
c_0,1.72,1.59,1.3,1.78,1.34,1.21,1.23,1.06,1.25,1.0,0.91,1.32,0.97,1.01,0.95,0.84
f_0,1.64,1.35,1.62,1.47,1.58,1.31,1.29,0.94,1.02,1.06,1.0,0.93,0.93,0.91,1.26,0.78
b_0,1.75,1.45,1.48,1.94,1.54,1.11,1.24,1.07,1.09,0.75,1.04,1.0,1.0,1.38,0.96,0.93
h_0,1.9,1.69,1.72,1.71,1.46,1.23,1.25,1.4,1.12,1.02,1.05,1.05,1.0,1.06,0.87,1.02
a_0,1.76,1.58,1.76,1.86,1.87,1.5,1.41,1.06,1.09,1.02,1.13,0.79,0.95,1.0,1.02,0.96
e_0,2.11,1.64,1.74,1.7,1.53,1.53,1.41,1.12,1.21,1.02,0.8,1.07,1.17,1.0,1.0,0.81
g_0,1.8,1.68,2.05,1.78,1.79,1.45,1.12,1.23,1.09,1.18,1.31,1.11,0.99,1.02,1.18,1.0
