,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.92,0.82,0.96,0.59,0.76,0.68,0.97,1.55,0.8,1.06,0.91,0.99,0.93,0.98,0.66,0.98
f_1,1.22,1.92,0.74,0.78,0.69,0.55,0.78,0.93,0.82,0.87,0.77,0.56,0.87,1.03,0.79,0.85
c_1,0.64,0.73,2.19,0.78,1.33,0.71,0.95,0.9,0.46,0.6,0.81,0.79,0.94,0.78,1.0,0.89
d_1,0.79,0.81,0.52,2.42,0.65,0.72,1.06,0.57,1.88,1.28,1.08,1.18,1.08,1.08,1.13,1.07
b_1,0.68,0.78,0.78,0.77,2.52,1.51,0.88,0.96,0.86,0.63,0.81,0.92,0.94,0.75,0.98,0.83
a_1,0.68,0.87,0.82,0.75,0.64,3.54,1.02,0.91,1.17,1.05,0.94,1.04,1.32,0.69,1.07,1.11
h_1,0.78,1.16,0.84,0.93,0.73,0.71,2.04,0.81,1.02,1.17,1.42,1.24,0.74,1.02,1.07,1.34
d_0,0.81,0.75,1.57,0.56,0.88,0.75,1.1,1.61,0.71,1.01,1.01,1.05,1.01,0.97,1.1,1.16
c_0,0.92,0.9,0.58,0.95,0.64,0.79,0.98,0.98,1.8,2.04,1.26,1.3,1.23,1.31,1.01,1.16
b_0,0.95,0.92,0.92,0.83,0.49,0.5,1.13,1.11,1.24,2.18,1.21,1.11,1.14,2.49,1.12,1.26
g_1,0.79,0.77,0.78,1.26,0.71,0.71,1.2,0.79,1.04,1.1,3.05,1.74,1.03,1.14,1.08,0.95
f_0,0.6,0.71,0.92,1.07,0.76,0.83,1.18,1.0,1.14,1.22,1.44,2.48,1.3,1.11,2.5,1.28
h_0,0.81,1.09,0.85,1.01,0.74,0.73,0.86,0.92,1.03,1.16,1.54,1.11,0.86,1.05,1.08,1.5
a_0,0.9,0.91,0.9,0.95,0.62,0.51,1.2,1.1,1.03,1.09,1.35,1.18,1.01,2.4,1.29,1.24
e_0,0.53,0.96,0.78,1.22,0.84,0.82,1.11,0.88,1.18,1.14,1.46,1.21,1.37,1.19,2.48,1.21
g_0,0.69,0.74,0.91,1.39,0.8,0.72,1.07,0.81,1.12,1.01,0.84,1.96,1.15,1.04,1.14,0.92
