,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.54,0.79,0.84,1.1,0.88,0.66,1.07,1.71,1.04,1.06,1.02,1.1,1.1,1.25,0.71,0.94
d_1,0.86,1.56,0.96,0.77,0.78,0.69,1.01,0.92,1.62,0.86,1.26,1.03,1.2,0.97,1.08,1.01
f_1,1.37,0.8,1.55,1.0,0.73,0.72,0.85,1.03,0.95,0.89,0.9,0.71,1.12,0.98,0.7,0.77
c_1,0.84,0.86,0.89,1.55,1.45,0.68,1.06,0.78,0.82,0.91,0.75,0.99,1.06,0.96,0.82,0.73
b_1,0.93,0.98,1.01,0.73,1.61,1.38,1.07,1.03,1.03,0.98,0.79,0.99,1.2,1.11,0.86,0.77
a_1,1.07,1.03,1.08,1.04,0.63,1.76,1.25,1.26,1.13,1.12,1.24,1.28,1.24,1.22,0.98,0.82
h_1,1.1,1.2,1.46,1.09,0.99,0.86,1.84,1.23,1.19,1.46,1.23,1.2,1.17,1.57,1.03,1.16
d_0,0.97,0.82,1.26,1.91,1.26,0.9,1.45,1.74,0.95,1.25,1.31,1.19,1.34,1.21,1.01,1.23
c_0,1.21,1.19,1.28,1.13,0.98,0.95,1.33,1.58,1.77,1.14,2.05,1.42,1.51,1.46,1.23,1.42
g_1,0.87,1.58,1.04,1.19,1.15,0.85,1.23,1.23,1.43,1.89,1.41,1.74,1.28,1.2,1.32,1.09
b_0,1.16,1.21,1.43,1.31,0.97,0.78,1.49,1.32,1.24,1.18,1.83,1.3,1.62,1.59,1.07,1.96
f_0,1.05,1.4,1.03,1.25,1.17,0.98,1.46,1.53,1.47,1.18,1.54,1.8,1.61,1.49,1.9,1.24
h_0,1.28,1.28,1.54,1.29,1.03,0.93,1.26,1.55,1.32,1.61,1.33,1.4,1.3,1.77,1.04,1.12
g_0,1.1,1.8,1.19,1.33,1.13,0.97,1.35,1.36,1.48,1.36,1.24,1.87,1.4,1.25,1.2,1.19
e_0,0.89,1.35,1.46,1.32,1.31,1.06,1.63,1.39,1.57,1.24,1.62,1.35,1.86,1.64,1.92,1.38
a_0,1.13,1.28,1.32,1.54,1.24,0.99,1.44,1.51,1.44,1.46,1.3,1.43,1.82,1.52,1.23,1.85
