,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.9,0.24,0.18,0.15,0.17,0.13,0.19,0.19,0.39,0.24,0.09,0.19,0.2,0.13,0.14,0.18
f_1,0.2,0.89,0.4,0.17,0.15,0.15,0.19,0.13,0.16,0.19,0.17,0.06,0.16,0.12,0.1,0.13
e_1,0.19,0.24,0.89,0.25,0.18,0.12,0.19,0.14,0.18,0.18,0.37,0.16,0.19,0.12,0.05,0.12
c_1,0.22,0.19,0.19,0.89,0.36,0.12,0.18,0.18,0.08,0.14,0.2,0.19,0.18,0.12,0.12,0.15
b_1,0.22,0.24,0.2,0.18,0.88,0.27,0.19,0.14,0.19,0.09,0.14,0.16,0.19,0.12,0.11,0.16
a_1,0.24,0.22,0.24,0.22,0.12,0.88,0.22,0.17,0.21,0.24,0.21,0.13,0.26,0.09,0.16,0.15
h_1,0.31,0.37,0.22,0.23,0.18,0.14,0.57,0.26,0.23,0.23,0.17,0.18,0.14,0.16,0.14,0.28
g_1,0.44,0.23,0.22,0.21,0.18,0.15,0.22,0.58,0.26,0.21,0.17,0.33,0.28,0.16,0.16,0.11
c_0,0.3,0.3,0.25,0.17,0.16,0.17,0.26,0.2,0.48,0.49,0.24,0.24,0.27,0.21,0.16,0.2
b_0,0.28,0.3,0.26,0.28,0.14,0.12,0.27,0.23,0.24,0.44,0.24,0.22,0.29,0.3,0.17,0.18
d_0,0.14,0.23,0.27,0.55,0.22,0.13,0.26,0.19,0.18,0.21,0.43,0.23,0.24,0.16,0.15,0.18
f_0,0.29,0.21,0.2,0.31,0.23,0.15,0.24,0.23,0.26,0.25,0.23,0.43,0.3,0.14,0.35,0.21
h_0,0.33,0.32,0.23,0.27,0.2,0.12,0.18,0.31,0.23,0.25,0.22,0.24,0.17,0.16,0.19,0.24
a_0,0.33,0.29,0.22,0.27,0.22,0.09,0.28,0.23,0.25,0.29,0.23,0.23,0.29,0.42,0.15,0.24
e_0,0.31,0.3,0.12,0.3,0.24,0.15,0.23,0.24,0.26,0.3,0.19,0.22,0.31,0.22,0.42,0.23
g_0,0.41,0.23,0.22,0.26,0.25,0.15,0.26,0.15,0.26,0.23,0.17,0.34,0.23,0.14,0.17,0.13
