,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.16,0.75,0.74,0.68,0.66,0.61,0.15,0.11,0.14,0.13,0.3,0.13,0.08,0.11,0.12,0.06
f_1,0.59,0.16,0.59,0.76,0.59,0.65,0.14,0.23,0.14,0.12,0.16,0.19,0.08,0.13,0.13,0.11
e_1,0.77,0.36,0.16,0.74,0.7,0.58,0.23,0.23,0.16,0.14,0.13,0.18,0.11,0.17,0.39,0.13
c_1,0.84,0.74,0.51,0.15,0.72,0.57,0.18,0.2,0.24,0.12,0.06,0.12,0.1,0.14,0.11,0.09
b_1,0.65,0.75,0.65,0.32,0.13,0.95,0.22,0.21,0.17,0.26,0.15,0.12,0.1,0.14,0.13,0.08
a_1,0.68,0.61,0.77,0.77,0.33,0.1,0.24,0.21,0.14,0.19,0.19,0.16,0.12,0.36,0.16,0.1
h_1,0.54,0.5,0.53,0.57,0.52,0.45,0.06,0.15,0.11,0.1,0.1,0.12,0.1,0.1,0.11,0.07
g_1,0.47,0.66,0.58,0.52,0.6,0.49,0.11,0.05,0.11,0.1,0.11,0.1,0.05,0.11,0.09,0.11
c_0,0.27,0.7,0.59,1.07,0.57,0.55,0.16,0.13,0.06,0.12,0.13,0.12,0.08,0.12,0.12,0.08
b_0,0.42,0.55,0.56,0.76,0.83,0.44,0.14,0.16,0.06,0.06,0.12,0.1,0.07,0.08,0.09,0.07
d_0,0.9,0.52,0.27,0.52,0.76,0.5,0.2,0.2,0.11,0.1,0.06,0.1,0.08,0.11,0.14,0.09
f_0,0.47,0.98,0.56,0.46,0.53,0.59,0.16,0.09,0.09,0.1,0.1,0.05,0.07,0.1,0.12,0.05
h_0,0.47,0.63,0.5,0.59,0.53,0.42,0.26,0.13,0.1,0.09,0.11,0.09,0.11,0.09,0.09,0.08
a_0,0.49,0.52,0.53,0.57,0.55,0.65,0.14,0.15,0.09,0.06,0.1,0.13,0.08,0.04,0.09,0.09
e_0,0.43,0.7,1.01,0.55,0.53,0.44,0.14,0.13,0.11,0.09,0.1,0.04,0.06,0.1,0.04,0.07
g_0,0.43,0.64,0.57,0.58,0.49,0.55,0.1,0.23,0.11,0.12,0.12,0.1,0.06,0.09,0.09,0.11
